Rank,Symbol,Score,Signal,Price,Change%,Stop,TP,UpsideToTP%,DownsideToStop%,R/R,Regime,Sentiment,Momentum,Entry OK,HQ Signal
1,IREN,91,BUY,61.18,7.62,59.5,68.23,11.52,-2.75,3.33,Trend,Bullish,bullish,Yes,Yes
2,MRNA,87,BUY,55.01,0.0,53.46,60.18,9.4,-2.82,3.33,Trend,Bullish,bullish,Yes,Yes
3,PTCT,87,BUY,76.38,0.0,74.61,82.29,7.74,-2.32,3.33,Trend,Bullish,bullish,Yes,Yes
4,BIDU,87,BUY,140.94,0.76,140.2,147.75,4.83,-0.53,3.33,Trend,Bullish,bullish,Yes,Yes
5,RKLB,86,BUY,101.89,29.66,99.13,109.07,7.05,-2.71,3.33,Trend,Bullish,bullish,Yes,Yes
6,AKAM,84,BUY,149.176,0.0,145.17,162.54,8.96,-2.69,3.33,Trend,Bullish,bullish,Yes,Yes
7,MCFT,84,BUY,27.73,8.15,27.56,29.35,5.84,-0.61,3.33,Trend,Bullish,bullish,No,Yes
8,NVAX,82,BUY,10.425,0.0,10.16,11.31,8.49,-2.54,3.33,Trend,Bullish,bullish,Yes,Yes
9,NAMS,80,BUY,39.05,0.0,38.18,41.93,7.38,-2.23,3.33,Trend,Bullish,bullish,Yes,Yes
10,TWIN,80,BUY,19.33,5.0,18.63,21.05,8.9,-3.62,3.33,Trend,Bullish,bullish,No,Yes
11,MNST,80,BUY,87.34,0.0,86.29,90.82,3.98,-1.2,3.33,Trend,Bullish,bullish,Yes,Yes
12,CURR,80,BUY,4.45,0.0,4.37,4.71,5.84,-1.8,3.33,Trend,Bullish,bullish,No,Yes
13,FITBM,78,HOLD,26.2,0.0,26.11,26.48,1.07,-0.34,3.33,Range,Bullish,bullish,No,No
14,BPYPM,78,BUY,16.95,0.0,16.91,17.09,0.83,-0.24,3.33,Trend,Neutral,neutral,No,Yes
15,MBUU,78,BUY,29.83,17.44,29.26,32.3,8.28,-1.91,3.33,Range,Bullish,bullish,Yes,Yes
16,FEIM,78,BUY,62.5,14.03,61.28,66.32,6.11,-1.95,3.33,Trend,Bullish,bullish,No,Yes
17,GRVY,78,BUY,66.25,0.0,65.16,69.89,5.49,-1.65,3.33,Range,Bullish,bullish,No,Yes
