agent,agent_key,sqf,effective_trades,adj_win_rate,gain_from_wins,cost_from_losses,fp_distraction,fn_opportunity,transaction_cost,combined_profit_usd,combined_max_dd,combined_sharpe,system_score,tier,scanner_precision,scanner_recall,scanner_f1,scanner_profit_usd,signals_per_run,min_alignment_ratio,min_momentum_ratio,min_filter_score,min_signal_score,min_zscore,min_price_filter,scanner_tp,scanner_fp,scanner_fn
Momentum Agent,momentum,2.0,2.6,0.95,6992.74,220.82,0.0,176.0,6.54,6589.37,0.0643,10.0,96.44,S,1.0,0.7958,0.8863,8217.32,2,0.67,0.4,1.0,2.0,0.0,2.0,343,0,88
Momentum Agent,momentum,2.0,2.6,0.95,6992.74,220.82,0.0,176.0,6.54,6589.37,0.0643,10.0,96.44,S,1.0,0.7958,0.8863,8217.32,2,0.6,0.4,1.0,2.0,0.0,2.0,343,0,88
Momentum Agent,momentum,2.0,2.6,0.95,6992.74,220.82,0.0,176.0,6.54,6589.37,0.0643,10.0,96.44,S,1.0,0.7958,0.8863,8217.32,2,0.67,0.5,1.0,2.0,0.0,2.0,343,0,88
Momentum Agent,momentum,2.0,2.6,0.95,6992.74,220.82,0.0,176.0,6.54,6589.37,0.0643,10.0,96.44,S,1.0,0.7958,0.8863,8217.32,2,0.6,0.5,1.0,2.0,0.0,2.0,343,0,88
Momentum Agent,momentum,1.9942,2.6,0.95,6992.74,220.82,2.78,176.0,6.57,6586.58,0.0643,10.0,96.42,S,0.9971,0.7958,0.8852,8202.32,2,0.5,0.4,1.0,2.0,0.0,2.0,343,1,88
Momentum Agent,momentum,1.9942,2.6,0.95,6992.74,220.82,2.78,176.0,6.57,6586.58,0.0643,10.0,96.42,S,0.9971,0.7958,0.8852,8202.32,2,0.5,0.5,1.0,2.0,0.0,2.0,343,1,88
Momentum Agent,momentum,2.0,2.6,0.95,6850.03,216.32,0.0,190.0,6.43,6437.29,0.0643,10.0,96.24,S,1.0,0.7796,0.8761,8005.64,2,0.67,0.5,1.0,2.0,0.0,5.0,336,0,95
Momentum Agent,momentum,2.0,2.6,0.95,6850.03,216.32,0.0,190.0,6.43,6437.29,0.0643,10.0,96.24,S,1.0,0.7796,0.8761,8005.64,2,0.6,0.4,1.0,2.0,0.0,5.0,336,0,95
Momentum Agent,momentum,2.0,2.6,0.95,6850.03,216.32,0.0,190.0,6.43,6437.29,0.0643,10.0,96.24,S,1.0,0.7796,0.8761,8005.64,2,0.67,0.4,1.0,2.0,0.0,5.0,336,0,95
Momentum Agent,momentum,2.0,2.6,0.95,6850.03,216.32,0.0,190.0,6.43,6437.29,0.0643,10.0,96.24,S,1.0,0.7796,0.8761,8005.64,2,0.6,0.5,1.0,2.0,0.0,5.0,336,0,95
Momentum Agent,momentum,1.994,2.6,0.95,6850.03,216.32,2.78,190.0,6.45,6434.49,0.0643,10.0,96.21,S,0.997,0.7796,0.875,7990.64,2,0.5,0.4,1.0,2.0,0.0,5.0,336,1,95
Momentum Agent,momentum,1.994,2.6,0.95,6850.03,216.32,2.78,190.0,6.45,6434.49,0.0643,10.0,96.21,S,0.997,0.7796,0.875,7990.64,2,0.5,0.5,1.0,2.0,0.0,5.0,336,1,95
Momentum Agent,momentum,2.0,2.5,0.95,6585.0,207.95,0.0,216.0,6.17,6154.88,0.0643,10.0,95.85,S,1.0,0.7494,0.8568,7612.52,2,0.67,0.5,1.0,2.0,0.0,10.0,323,0,108
Momentum Agent,momentum,2.0,2.5,0.95,6585.0,207.95,0.0,216.0,6.17,6154.88,0.0643,10.0,95.85,S,1.0,0.7494,0.8568,7612.52,2,0.6,0.4,1.0,2.0,0.0,10.0,323,0,108
Momentum Agent,momentum,2.0,2.5,0.95,6585.0,207.95,0.0,216.0,6.17,6154.88,0.0643,10.0,95.85,S,1.0,0.7494,0.8568,7612.52,2,0.6,0.5,1.0,2.0,0.0,10.0,323,0,108
Momentum Agent,momentum,2.0,2.5,0.95,6585.0,207.95,0.0,216.0,6.17,6154.88,0.0643,10.0,95.85,S,1.0,0.7494,0.8568,7612.52,2,0.67,0.4,1.0,2.0,0.0,10.0,323,0,108
Momentum Agent,momentum,1.9938,2.5,0.95,6585.0,207.95,2.78,216.0,6.2,6152.08,0.0643,10.0,95.83,S,0.9969,0.7494,0.8556,7597.52,2,0.5,0.5,1.0,2.0,0.0,10.0,323,1,108
Momentum Agent,momentum,1.9938,2.5,0.95,6585.0,207.95,2.78,216.0,6.2,6152.08,0.0643,10.0,95.83,S,0.9969,0.7494,0.8556,7597.52,2,0.5,0.4,1.0,2.0,0.0,10.0,323,1,108
Momentum Agent,momentum,1.8244,2.9,0.95,6992.74,220.82,91.58,176.0,7.19,6497.15,0.0651,10.0,95.7,S,0.9122,0.7958,0.8501,7722.32,3,0.6,0.4,0.0,2.0,0.0,2.0,343,33,88
Momentum Agent,momentum,1.8244,2.9,0.95,6992.74,220.82,91.58,176.0,7.19,6497.15,0.0651,10.0,95.7,S,0.9122,0.7958,0.8501,7722.32,3,0.67,0.5,0.0,2.0,0.0,2.0,343,33,88
