min_alignment_ratio,min_momentum_ratio,min_filter_score,min_signal_score,min_zscore,min_price_filter,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,Profit_Score,Expected_Gain_USD,FP_Cost_USD,FN_Cost_USD,Signals_Per_Run,Signal_Rate_Pct
0.5,0.4,0,1,0.0,2.0,343,1986,88,7229,0.1473,0.7958,0.2486,0.785,-21572.68,8657.32,29790.0,440.0,19.25,24.14
0.5,0.4,0,1,0.0,5.0,336,1959,95,7256,0.1464,0.7796,0.2465,0.7871,-21379.36,8480.64,29385.0,475.0,18.97,23.79
0.5,0.4,0,1,0.0,10.0,323,1892,108,7323,0.1458,0.7494,0.2441,0.7927,-20767.48,8152.52,28380.0,540.0,18.31,22.96
0.5,0.4,0,1,1.0,2.0,206,128,225,9087,0.6168,0.478,0.5386,0.9634,2154.44,5199.44,1920.0,1125.0,2.76,3.46
0.5,0.4,0,1,1.0,5.0,200,120,231,9095,0.625,0.464,0.5326,0.9636,2093.0,5048.0,1800.0,1155.0,2.64,3.32
0.5,0.4,0,1,1.0,10.0,190,113,241,9102,0.6271,0.4408,0.5177,0.9633,1895.6,4795.6,1695.0,1205.0,2.5,3.14
0.5,0.4,0,1,1.5,2.0,206,128,225,9087,0.6168,0.478,0.5386,0.9634,2154.44,5199.44,1920.0,1125.0,2.76,3.46
0.5,0.4,0,1,1.5,5.0,200,120,231,9095,0.625,0.464,0.5326,0.9636,2093.0,5048.0,1800.0,1155.0,2.64,3.32
0.5,0.4,0,1,1.5,10.0,190,113,241,9102,0.6271,0.4408,0.5177,0.9633,1895.6,4795.6,1695.0,1205.0,2.5,3.14
0.5,0.4,0,1,2.0,2.0,152,98,279,9117,0.608,0.3527,0.4464,0.9609,971.48,3836.48,1470.0,1395.0,2.07,2.59
0.5,0.4,0,1,2.0,5.0,147,91,284,9124,0.6176,0.3411,0.4395,0.9611,925.28,3710.28,1365.0,1420.0,1.97,2.47
0.5,0.4,0,1,2.0,10.0,142,87,289,9128,0.6201,0.3295,0.4303,0.961,834.08,3584.08,1305.0,1445.0,1.89,2.37
0.5,0.4,0,2,0.0,2.0,343,35,88,9180,0.9074,0.7958,0.848,0.9872,7692.32,8657.32,525.0,440.0,3.12,3.92
0.5,0.4,0,2,0.0,5.0,336,32,95,9183,0.913,0.7796,0.8411,0.9868,7525.64,8480.64,480.0,475.0,3.04,3.82
0.5,0.4,0,2,0.0,10.0,323,29,108,9186,0.9176,0.7494,0.825,0.9858,7177.52,8152.52,435.0,540.0,2.91,3.65
0.5,0.4,0,2,1.0,2.0,206,26,225,9189,0.8879,0.478,0.6214,0.974,3684.44,5199.44,390.0,1125.0,1.92,2.41
0.5,0.4,0,2,1.0,5.0,200,23,231,9192,0.8969,0.464,0.6116,0.9737,3548.0,5048.0,345.0,1155.0,1.84,2.31
0.5,0.4,0,2,1.0,10.0,190,20,241,9195,0.9048,0.4408,0.5928,0.9729,3290.6,4795.6,300.0,1205.0,1.74,2.18
0.5,0.4,0,2,1.5,2.0,206,26,225,9189,0.8879,0.478,0.6214,0.974,3684.44,5199.44,390.0,1125.0,1.92,2.41
0.5,0.4,0,2,1.5,5.0,200,23,231,9192,0.8969,0.464,0.6116,0.9737,3548.0,5048.0,345.0,1155.0,1.84,2.31
0.5,0.4,0,2,1.5,10.0,190,20,241,9195,0.9048,0.4408,0.5928,0.9729,3290.6,4795.6,300.0,1205.0,1.74,2.18
0.5,0.4,0,2,2.0,2.0,152,22,279,9193,0.8736,0.3527,0.5025,0.9688,2111.48,3836.48,330.0,1395.0,1.44,1.8
0.5,0.4,0,2,2.0,5.0,147,19,284,9196,0.8855,0.3411,0.4925,0.9686,2005.28,3710.28,285.0,1420.0,1.37,1.72
0.5,0.4,0,2,2.0,10.0,142,17,289,9198,0.8931,0.3295,0.4814,0.9683,1884.08,3584.08,255.0,1445.0,1.31,1.65
0.5,0.4,0,3,0.0,2.0,45,5,386,9210,0.9,0.1044,0.1871,0.9595,-869.2,1135.8,75.0,1930.0,0.41,0.52
0.5,0.4,0,3,0.0,5.0,45,5,386,9210,0.9,0.1044,0.1871,0.9595,-869.2,1135.8,75.0,1930.0,0.41,0.52
0.5,0.4,0,3,0.0,10.0,41,5,390,9210,0.8913,0.0951,0.1719,0.9591,-990.16,1034.84,75.0,1950.0,0.38,0.48
0.5,0.4,0,3,1.0,2.0,34,5,397,9210,0.8718,0.0789,0.1447,0.9583,-1201.84,858.16,75.0,1985.0,0.32,0.4
0.5,0.4,0,3,1.0,5.0,34,5,397,9210,0.8718,0.0789,0.1447,0.9583,-1201.84,858.16,75.0,1985.0,0.32,0.4
0.5,0.4,0,3,1.0,10.0,30,5,401,9210,0.8571,0.0696,0.1288,0.9579,-1322.8,757.2,75.0,2005.0,0.29,0.36
0.5,0.4,0,3,1.5,2.0,34,5,397,9210,0.8718,0.0789,0.1447,0.9583,-1201.84,858.16,75.0,1985.0,0.32,0.4
0.5,0.4,0,3,1.5,5.0,34,5,397,9210,0.8718,0.0789,0.1447,0.9583,-1201.84,858.16,75.0,1985.0,0.32,0.4
0.5,0.4,0,3,1.5,10.0,30,5,401,9210,0.8571,0.0696,0.1288,0.9579,-1322.8,757.2,75.0,2005.0,0.29,0.36
0.5,0.4,0,3,2.0,2.0,23,5,408,9210,0.8214,0.0534,0.1002,0.9572,-1534.48,580.52,75.0,2040.0,0.23,0.29
0.5,0.4,0,3,2.0,5.0,23,5,408,9210,0.8214,0.0534,0.1002,0.9572,-1534.48,580.52,75.0,2040.0,0.23,0.29
0.5,0.4,0,3,2.0,10.0,20,5,411,9210,0.8,0.0464,0.0877,0.9569,-1625.2,504.8,75.0,2055.0,0.21,0.26
0.5,0.4,1,1,0.0,2.0,343,1824,88,7391,0.1583,0.7958,0.264,0.8018,-19142.68,8657.32,27360.0,440.0,17.91,22.47
0.5,0.4,1,1,0.0,5.0,336,1804,95,7411,0.157,0.7796,0.2614,0.8031,-19054.36,8480.64,27060.0,475.0,17.69,22.19
0.5,0.4,1,1,0.0,10.0,323,1745,108,7470,0.1562,0.7494,0.2585,0.8079,-18562.48,8152.52,26175.0,540.0,17.09,21.44
0.5,0.4,1,1,1.0,2.0,206,95,225,9120,0.6844,0.478,0.5628,0.9668,2649.44,5199.44,1425.0,1125.0,2.49,3.12
0.5,0.4,1,1,1.0,5.0,200,91,231,9124,0.6873,0.464,0.554,0.9666,2528.0,5048.0,1365.0,1155.0,2.4,3.02
0.5,0.4,1,1,1.0,10.0,190,88,241,9127,0.6835,0.4408,0.536,0.9659,2270.6,4795.6,1320.0,1205.0,2.3,2.88
0.5,0.4,1,1,1.5,2.0,206,95,225,9120,0.6844,0.478,0.5628,0.9668,2649.44,5199.44,1425.0,1125.0,2.49,3.12
0.5,0.4,1,1,1.5,5.0,200,91,231,9124,0.6873,0.464,0.554,0.9666,2528.0,5048.0,1365.0,1155.0,2.4,3.02
0.5,0.4,1,1,1.5,10.0,190,88,241,9127,0.6835,0.4408,0.536,0.9659,2270.6,4795.6,1320.0,1205.0,2.3,2.88
0.5,0.4,1,1,2.0,2.0,152,71,279,9144,0.6816,0.3527,0.4648,0.9637,1376.48,3836.48,1065.0,1395.0,1.84,2.31
0.5,0.4,1,1,2.0,5.0,147,68,284,9147,0.6837,0.3411,0.4551,0.9635,1270.28,3710.28,1020.0,1420.0,1.78,2.23
0.5,0.4,1,1,2.0,10.0,142,66,289,9149,0.6827,0.3295,0.4444,0.9632,1149.08,3584.08,990.0,1445.0,1.72,2.16
0.5,0.4,1,2,0.0,2.0,343,1,88,9214,0.9971,0.7958,0.8852,0.9908,8202.32,8657.32,15.0,440.0,2.84,3.57
0.5,0.4,1,2,0.0,5.0,336,1,95,9214,0.997,0.7796,0.875,0.99,7990.64,8480.64,15.0,475.0,2.79,3.49
0.5,0.4,1,2,0.0,10.0,323,1,108,9214,0.9969,0.7494,0.8556,0.9887,7597.52,8152.52,15.0,540.0,2.68,3.36
0.5,0.4,1,2,1.0,2.0,206,1,225,9214,0.9952,0.478,0.6458,0.9766,4059.44,5199.44,15.0,1125.0,1.71,2.15
0.5,0.4,1,2,1.0,5.0,200,1,231,9214,0.995,0.464,0.6329,0.9759,3878.0,5048.0,15.0,1155.0,1.66,2.08
0.5,0.4,1,2,1.0,10.0,190,1,241,9214,0.9948,0.4408,0.6109,0.9749,3575.6,4795.6,15.0,1205.0,1.58,1.98
0.5,0.4,1,2,1.5,2.0,206,1,225,9214,0.9952,0.478,0.6458,0.9766,4059.44,5199.44,15.0,1125.0,1.71,2.15
0.5,0.4,1,2,1.5,5.0,200,1,231,9214,0.995,0.464,0.6329,0.9759,3878.0,5048.0,15.0,1155.0,1.66,2.08
0.5,0.4,1,2,1.5,10.0,190,1,241,9214,0.9948,0.4408,0.6109,0.9749,3575.6,4795.6,15.0,1205.0,1.58,1.98
0.5,0.4,1,2,2.0,2.0,152,0,279,9215,1.0,0.3527,0.5214,0.9711,2441.48,3836.48,0.0,1395.0,1.26,1.58
0.5,0.4,1,2,2.0,5.0,147,0,284,9215,1.0,0.3411,0.5087,0.9706,2290.28,3710.28,0.0,1420.0,1.21,1.52
