symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
AAPL,230.3933,0,True,True,0.707275,False,2025-09-12 13:45,False,False,False,0,228.98,233.22,141,2.0,0.61
MSFT,506.36,0,True,True,1.524873,False,2025-09-12 13:45,False,False,True,1,503.31,512.46,65,2.0,0.6
GOOGL,238.82,0,True,True,0.89321,False,2025-09-12 13:45,False,False,True,1,237.03,242.39,111,2.0,0.75
AMZN,228.39,0,True,False,0.742934,False,2025-09-12 13:45,False,False,True,1,226.9,231.36,134,2.0,0.65
META,747.5925,0,True,False,2.424456,False,2025-09-12 13:45,False,False,True,1,742.74,757.29,41,2.0,0.65
TSLA,383.76,0,True,True,2.985811,False,2025-09-12 13:45,False,True,True,2,377.79,395.7,33,2.0,1.56
NVDA,177.435,0,True,True,0.634821,False,2025-09-12 13:45,False,True,True,2,176.17,179.97,157,2.0,0.72
CRM,245.8075,0,False,False,1.005555,False,2025-09-12 13:45,False,False,False,0,243.8,249.83,99,2.0,0.82
ORCL,298.87,0,True,True,3.505015,False,2025-09-12 13:45,False,True,True,2,291.86,312.89,28,2.0,2.35
ADBE,347.63,0,False,False,3.428597,False,2025-09-12 13:45,False,False,False,0,340.77,361.34,29,2.0,1.97
NOW,936.81,0,True,True,3.452131,False,2025-09-12 13:45,False,False,False,0,929.91,950.62,28,2.0,0.74
WDAY,227.005,0,False,False,1.005523,False,2025-09-12 13:45,False,False,False,0,224.99,231.03,99,2.0,0.89
VEEV,279.51,0,True,True,1.103297,False,2025-09-12 13:45,False,False,True,1,277.3,283.92,90,2.0,0.79
NFLX,1195.285,0,True,False,6.578529,False,2025-09-12 13:45,False,False,True,1,1182.13,1221.6,15,2.0,1.1
UBER,93.81,0,True,True,0.534879,False,2025-09-12 13:45,False,False,True,1,92.74,95.95,186,2.0,1.14
ABNB,122.64,0,False,False,0.537891,False,2025-09-12 13:45,False,False,False,0,121.56,124.79,185,2.0,0.88
RBLX,134.775,0,True,True,1.249003,False,2025-09-12 13:45,False,True,True,2,132.28,139.77,80,2.0,1.85
ZM,84.13,0,True,True,0.325558,False,2025-09-12 13:45,False,False,False,0,83.48,85.43,307,2.0,0.77
PYPL,67.48,0,False,False,0.218766,False,2025-09-12 13:45,False,False,False,0,67.04,68.36,457,2.0,0.65
COIN,325.355,0,True,True,1.967401,False,2025-09-12 13:45,False,True,True,2,321.42,333.22,50,2.0,1.21
SHOP,143.085,0,True,True,0.703651,False,2025-09-12 13:45,False,False,True,1,141.68,145.9,142,2.0,0.98
CRWD,436.82,0,True,True,2.053724,False,2025-09-12 13:45,False,True,True,2,432.71,445.03,48,2.0,0.94
ZS,286.395,0,True,True,1.385376,False,2025-09-12 13:45,False,False,True,1,283.62,291.94,72,2.0,0.97
PANW,198.6,0,True,True,0.813216,False,2025-09-12 13:45,False,False,False,0,196.97,201.85,122,2.0,0.82
FTNT,79.919,0,False,False,0.361611,False,2025-09-12 13:45,False,False,False,0,79.2,81.37,276,2.0,0.9
OKTA,91.755,0,False,False,0.397352,False,2025-09-12 13:45,False,False,False,0,90.96,93.34,251,2.0,0.87
JNJ,178.15,0,True,True,0.45975,False,2025-09-12 13:45,False,False,True,1,177.23,179.99,217,2.0,0.52
PFE,24.715,0,True,False,0.074808,False,2025-09-12 13:45,False,False,False,0,24.57,25.01,1336,2.0,0.61
UNH,358.795,0,False,True,2.396571,False,2025-09-12 13:45,False,True,False,1,354.0,368.38,41,2.0,1.34
MRNA,25.26,0,False,False,0.239794,False,2025-09-12 13:45,False,True,False,1,24.78,26.22,417,2.0,1.9
BNTX,101.0,0,False,False,0.731107,False,2025-09-12 13:45,False,False,False,0,99.54,103.92,136,2.0,1.45
JPM,305.865,0,True,True,0.815493,False,2025-09-12 13:45,False,True,True,2,304.23,309.13,122,2.0,0.53
BAC,50.8,0,True,True,0.125245,False,2025-09-12 13:45,False,False,True,1,50.55,51.3,798,2.0,0.49
WFC,81.1451,0,True,True,0.252708,False,2025-09-12 13:45,False,False,True,1,80.64,82.16,395,2.0,0.62
GS,783.53,0,True,True,3.667541,False,2025-09-12 13:45,False,True,True,2,776.19,798.2,27,2.0,0.94
XOM,112.46,0,True,True,0.340372,False,2025-09-12 13:45,False,False,False,0,111.78,113.82,293,2.0,0.61
CVX,158.285,0,True,True,0.44746,False,2025-09-12 13:45,False,True,True,2,157.39,160.07,223,2.0,0.57
COP,94.105,0,False,False,0.333806,False,2025-09-12 13:45,False,True,False,1,93.44,95.44,299,2.0,0.71
SLB,36.165,0,False,True,0.168908,False,2025-09-12 13:45,False,False,False,0,35.83,36.84,592,2.0,0.93
SPY,657.65,0,True,True,0.580584,False,2025-09-12 13:45,False,False,True,1,656.49,659.97,172,2.0,0.18
QQQ,584.815,0,True,True,0.679566,False,2025-09-12 13:45,False,False,True,1,583.46,587.53,147,2.0,0.23
IWM,239.57,0,True,True,0.516541,False,2025-09-12 13:45,False,False,True,1,238.54,241.64,193,2.0,0.43
