symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
NVDA,177.795,0,True,True,0.631276,False,2025-09-12 14:30,False,True,True,2,True,1.0,True,1.0,176.53,180.32,158,2.0,0.71
TSLA,392.135,0,True,True,3.416838,False,2025-09-12 14:30,False,True,True,2,True,1.0,True,0.5,385.3,405.8,29,2.0,1.74
GOOGL,239.04,0,True,True,0.835383,False,2025-09-12 14:30,False,False,True,1,True,1.0,True,0.5,237.37,242.38,119,2.0,0.7
META,749.205,0,True,False,2.456341,False,2025-09-12 14:30,False,False,True,1,False,0.33,True,0.5,744.29,759.03,40,2.0,0.66
AMZN,229.205,0,True,True,0.716569,False,2025-09-12 14:30,False,False,True,1,False,0.67,False,0.25,227.77,232.07,139,2.0,0.63
AAPL,233.9691,0,True,True,0.898747,False,2025-09-12 14:30,False,False,True,1,True,1.0,True,0.5,232.17,237.56,111,2.0,0.77
MSFT,507.62,0,True,True,1.438957,False,2025-09-12 14:30,False,False,True,1,True,1.0,True,0.75,504.74,513.38,69,2.0,0.57
NFLX,1193.66,0,True,False,6.113698,False,2025-09-12 14:30,False,False,True,1,False,0.33,False,0.25,1181.43,1218.11,16,2.0,1.02
AMD,155.85,0,True,False,0.760012,False,2025-09-12 14:30,False,False,True,1,False,0.33,True,1.0,154.33,158.89,131,2.0,0.98
COIN,325.3,0,True,True,2.134767,False,2025-09-12 14:30,False,True,True,2,True,1.0,True,1.0,321.03,333.84,46,2.0,1.31
RBLX,133.635,0,True,True,1.220457,False,2025-09-12 14:30,False,False,True,1,True,1.0,True,1.0,131.19,138.52,81,2.0,1.83
CRWD,439.635,0,True,True,2.302242,False,2025-09-12 14:30,False,True,True,2,True,1.0,True,1.0,435.03,448.84,43,2.0,1.05
ZS,285.4,0,True,True,1.403458,False,2025-09-12 14:30,False,False,True,1,True,1.0,True,0.75,282.59,291.01,71,2.0,0.98
PANW,198.4,0,True,True,0.79548,False,2025-09-12 14:30,False,False,False,0,True,1.0,True,0.5,196.81,201.58,125,2.0,0.8
ABNB,122.7662,0,False,False,0.531546,False,2025-09-12 14:30,False,False,False,0,False,0.0,False,0.25,121.7,124.89,188,2.0,0.87
UBER,95.515,0,True,True,0.547018,False,2025-09-12 14:30,False,False,True,1,True,1.0,True,1.0,94.42,97.7,182,2.0,1.15
SHOP,143.085,0,True,True,0.675144,False,2025-09-12 14:30,False,False,True,1,False,0.67,False,0.25,141.73,145.79,148,2.0,0.94
CRM,244.87,0,False,False,0.92931,False,2025-09-12 14:30,False,False,False,0,False,0.0,True,0.5,243.01,248.59,107,2.0,0.76
ORCL,296.9651,0,True,True,3.551188,False,2025-09-12 14:30,False,True,True,2,False,0.67,True,0.5,289.86,311.17,28,2.0,2.39
ADBE,347.6,0,False,False,3.737035,False,2025-09-12 14:30,False,False,False,0,False,0.0,True,0.5,340.13,362.55,26,2.0,2.15
NOW,933.215,0,False,True,3.181524,False,2025-09-12 14:30,False,False,False,0,False,0.67,True,0.75,926.85,945.94,31,2.0,0.68
WDAY,223.49,0,False,False,1.037767,False,2025-09-12 14:30,False,False,False,0,False,0.0,False,0.0,221.41,227.64,96,2.0,0.93
VEEV,278.01,0,True,False,1.047625,False,2025-09-12 14:30,False,False,True,1,False,0.33,True,0.5,275.91,282.2,95,2.0,0.75
ZM,84.47,0,True,True,0.323416,False,2025-09-12 14:30,False,False,False,0,True,1.0,True,0.5,83.82,85.76,309,2.0,0.77
OKTA,92.075,0,False,False,0.383729,False,2025-09-12 14:30,False,False,False,0,False,0.33,True,1.0,91.31,93.61,260,2.0,0.83
FTNT,80.1,0,False,False,0.355685,False,2025-09-12 14:30,False,False,False,0,False,0.33,True,0.75,79.39,81.52,281,2.0,0.89
MRNA,25.25,0,False,False,0.226394,False,2025-09-12 14:30,False,True,False,1,False,0.33,True,0.75,24.8,26.16,441,2.0,1.79
BNTX,100.145,0,False,False,0.697293,False,2025-09-12 14:30,False,False,False,0,False,0.0,True,0.5,98.75,102.93,143,2.0,1.39
UNH,359.98,0,False,True,2.325154,False,2025-09-12 14:30,False,True,False,1,False,0.67,True,0.75,355.33,369.28,43,2.0,1.29
JNJ,178.65,0,True,True,0.432902,False,2025-09-12 14:30,False,False,True,1,True,1.0,True,0.75,177.78,180.38,230,2.0,0.48
PFE,24.6832,0,True,False,0.080168,False,2025-09-12 14:30,False,False,False,0,False,0.33,True,0.75,24.52,25.0,1247,2.0,0.65
JPM,305.451,0,True,True,0.843169,False,2025-09-12 14:30,False,True,True,2,True,1.0,True,0.75,303.76,308.82,118,2.0,0.55
BAC,50.735,0,True,True,0.122304,False,2025-09-12 14:30,False,False,True,1,True,1.0,True,0.5,50.49,51.22,817,2.0,0.48
GS,780.73,0,True,True,3.222679,False,2025-09-12 14:30,False,True,True,2,True,1.0,True,0.75,774.28,793.62,31,2.0,0.83
WFC,81.04,0,True,True,0.234441,False,2025-09-12 14:30,False,False,True,1,True,1.0,True,0.5,80.57,81.98,426,2.0,0.58
