symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
NVDA,176.3918,0,True,True,0.687901,False,2025-09-15 15:15,False,True,True,2,False,0.67,True,0.67,True,False,175.02,179.14,145,2.0,0.78
TSLA,422.4,0,True,True,4.591973,False,2025-09-15 15:15,True,True,True,3,True,1.0,True,0.67,False,False,413.22,440.77,21,2.0,2.17
GOOGL,248.15,0,True,True,1.350644,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.83,True,False,245.45,253.55,74,2.0,1.09
META,763.0,0,True,True,3.103224,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.67,False,False,756.79,775.41,32,2.0,0.81
AMZN,232.6975,0,True,True,0.897729,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.5,False,False,230.9,236.29,111,2.0,0.77
AAPL,236.6714,0,True,True,0.813471,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.67,True,False,235.04,239.93,122,2.0,0.69
MSFT,512.715,0,True,True,1.462113,False,2025-09-15 15:15,False,True,True,2,True,1.0,True,0.67,True,False,509.79,518.56,68,2.0,0.57
NFLX,1195.6,0,True,False,5.103513,False,2025-09-15 15:15,False,False,True,1,False,0.33,True,0.5,False,False,1185.39,1216.01,19,2.0,0.85
AMD,160.26,0,True,False,0.91373,False,2025-09-15 15:15,False,False,True,1,False,0.67,True,0.83,False,False,158.43,163.91,109,2.0,1.14
COIN,323.1,0,True,True,2.40654,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.5,False,False,318.29,332.73,41,2.0,1.49
RBLX,138.8453,0,True,True,1.018059,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.67,False,False,136.81,142.92,98,2.0,1.47
CRWD,445.25,0,True,True,2.422163,False,2025-09-15 15:15,False,True,True,2,True,1.0,True,0.67,False,False,440.41,454.94,41,2.0,1.09
ZS,285.05,0,True,True,1.247573,False,2025-09-15 15:15,False,True,True,2,True,1.0,True,0.67,False,False,282.55,290.04,80,2.0,0.88
PANW,200.38,0,True,True,0.871956,False,2025-09-15 15:15,False,False,False,0,True,1.0,True,0.5,False,False,198.64,203.87,114,2.0,0.87
ABNB,120.61,0,False,False,0.532823,False,2025-09-15 15:15,False,False,False,0,False,0.0,False,0.0,False,False,119.54,122.74,187,2.0,0.88
UBER,97.34,0,True,True,0.552127,False,2025-09-15 15:15,False,True,True,2,True,1.0,True,0.83,False,False,96.24,99.55,181,2.0,1.13
SHOP,144.44,0,True,True,0.694693,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.67,False,False,143.05,147.22,143,2.0,0.96
CRM,241.86,0,False,False,1.034419,False,2025-09-15 15:15,False,False,False,0,False,0.0,False,0.17,False,False,239.79,246.0,96,2.0,0.86
ORCL,302.435,0,True,True,2.849876,False,2025-09-15 15:15,False,True,True,2,True,1.0,True,0.67,False,False,296.74,313.83,35,2.0,1.88
ADBE,346.73,0,False,False,2.802709,False,2025-09-15 15:15,True,False,False,1,False,0.0,False,0.17,False,False,341.12,357.94,35,2.0,1.62
NOW,943.835,0,True,True,3.395728,False,2025-09-15 15:15,False,True,False,1,True,1.0,True,0.83,False,False,937.04,957.42,29,2.0,0.72
WDAY,222.36,0,False,False,0.995919,False,2025-09-15 15:15,False,False,False,0,False,0.0,False,0.17,False,False,220.37,226.34,100,2.0,0.9
VEEV,277.73,0,True,False,1.179695,False,2025-09-15 15:15,False,False,True,1,False,0.67,True,0.83,False,False,275.37,282.45,84,2.0,0.85
ZM,83.91,0,True,True,0.293282,False,2025-09-15 15:15,False,False,False,0,False,0.67,False,0.17,False,False,83.32,85.08,340,2.0,0.7
OKTA,90.165,0,False,False,0.394934,False,2025-09-15 15:15,False,False,False,0,False,0.0,False,0.0,False,False,89.38,91.74,253,2.0,0.88
FTNT,79.81,0,False,False,0.333774,False,2025-09-15 15:15,False,False,False,0,False,0.0,True,0.5,False,False,79.14,81.15,299,2.0,0.84
MRNA,23.605,0,False,False,0.251231,False,2025-09-15 15:15,True,False,False,1,False,0.0,False,0.17,False,False,23.1,24.61,398,2.0,2.13
BNTX,97.59,0,False,False,0.946653,False,2025-09-15 15:15,False,False,False,0,False,0.0,False,0.33,False,False,95.7,101.38,105,2.0,1.94
UNH,348.33,0,False,True,2.331553,False,2025-09-15 15:15,False,False,False,0,False,0.33,False,0.33,False,False,343.67,357.66,42,2.0,1.34
JNJ,177.65,0,True,True,0.413352,False,2025-09-15 15:15,False,False,True,1,False,0.67,False,0.33,False,False,176.82,179.3,241,2.0,0.47
PFE,23.765,0,False,False,0.102264,False,2025-09-15 15:15,True,False,False,1,False,0.0,False,0.0,False,False,23.56,24.17,977,2.0,0.86
JPM,308.73,0,True,True,0.813601,False,2025-09-15 15:15,False,True,True,2,True,1.0,True,0.67,False,False,307.1,311.98,122,2.0,0.53
BAC,50.8396,0,True,True,0.136047,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.67,False,False,50.57,51.38,735,2.0,0.54
GS,786.9001,0,True,True,2.726481,False,2025-09-15 15:15,False,True,True,2,True,1.0,True,0.5,False,False,781.45,797.81,36,2.0,0.69
WFC,81.355,0,True,True,0.233752,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.67,False,False,80.89,82.29,427,2.0,0.57
XOM,112.295,0,True,True,0.27927,False,2025-09-15 15:15,False,False,False,0,True,1.0,True,0.67,False,False,111.74,113.41,358,2.0,0.5
CVX,157.8699,0,True,True,0.411178,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.83,False,False,157.05,159.51,243,2.0,0.52
COP,92.5,0,False,False,0.367632,False,2025-09-15 15:15,False,False,False,0,False,0.0,False,0.0,False,False,91.76,93.97,272,2.0,0.79
SLB,35.5,0,False,True,0.205598,False,2025-09-15 15:15,False,False,False,0,False,0.33,False,0.33,False,False,35.09,36.32,486,2.0,1.16
PYPL,67.105,0,False,False,0.225029,False,2025-09-15 15:15,False,False,False,0,False,0.33,True,0.5,False,False,66.65,68.01,444,2.0,0.67
SPY,660.42,0,True,True,0.68112,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.67,True,False,659.06,663.14,146,2.0,0.21
QQQ,590.075,0,True,True,0.715483,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.5,True,False,588.64,592.94,139,2.0,0.24
IWM,239.495,0,True,True,0.553674,False,2025-09-15 15:15,False,False,True,1,True,1.0,True,0.67,False,False,238.39,241.71,180,2.0,0.46
