symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
ORCL,251.62,0,True,True,1.083111,False,2025-09-15 19:45,False,False,False,0,0.85,0.29,-0.43,True,1.0,True,0.67,False,False,249.45,255.95,92,2.0,0.86
META,251.62,0,False,True,1.083111,False,2025-09-15 19:45,False,False,False,0,0.97,0.65,-3.93,False,0.67,True,0.5,False,False,249.45,255.95,92,2.0,0.86
NVDA,251.62,0,True,True,1.083111,False,2025-09-15 19:45,False,False,True,1,1.4,-0.9,4.09,True,1.0,True,0.5,True,False,249.45,255.95,92,2.0,0.86
AMD,251.62,0,True,True,1.083111,False,2025-09-15 19:45,False,False,True,1,0.53,-1.74,8.16,True,1.0,False,0.33,False,False,249.45,255.95,92,2.0,0.86
AAPL,251.62,0,True,False,1.083111,False,2025-09-15 19:45,False,False,True,1,0.53,-1.74,8.16,False,0.67,True,0.5,True,False,249.45,255.95,92,2.0,0.86
MSFT,251.62,0,True,True,1.083111,False,2025-09-15 19:45,False,False,True,1,0.64,0.64,10.37,True,1.0,True,0.5,True,False,249.45,255.95,92,2.0,0.86
PLTR,251.62,0,False,True,1.083111,False,2025-09-15 19:45,False,False,False,0,1.1,0.09,-0.55,False,0.67,True,0.5,False,False,249.45,255.95,92,2.0,0.86
GOOGL,251.62,0,False,False,1.083111,False,2025-09-15 19:45,False,False,False,0,1.1,0.09,-0.55,False,0.33,True,0.5,True,False,249.45,255.95,92,2.0,0.86
SNOW,251.62,0,False,True,1.083111,False,2025-09-15 19:45,False,False,False,0,1.1,0.09,-0.55,False,0.67,True,0.5,False,False,249.45,255.95,92,2.0,0.86
SMCI,251.62,0,False,True,1.083111,False,2025-09-15 19:45,False,False,False,0,1.1,0.09,-0.55,False,0.67,True,0.5,False,False,249.45,255.95,92,2.0,0.86
ZM,242.536,0,True,False,1.764305,False,2025-09-15 15:30,False,False,True,1,0.91,-7.99,23.26,False,0.67,True,0.5,False,False,239.01,249.59,56,2.0,1.45
VEEV,242.536,0,True,False,1.764305,False,2025-09-15 15:30,False,False,True,1,0.91,-7.99,23.26,False,0.67,True,0.5,False,False,239.01,249.59,56,2.0,1.45
NET,225.63,0,True,True,4.902847,False,2025-09-15 17:30,False,False,False,0,0.48,0.61,12.58,False,0.5,True,0.5,False,False,215.82,245.24,20,2.0,4.35
WDAY,242.536,0,True,True,1.764305,False,2025-09-15 15:30,False,False,False,0,0.48,0.61,12.58,False,0.5,True,0.67,False,False,239.01,249.59,56,2.0,1.45
RBLX,1202.0,0,True,True,18.85679,False,2025-09-15 17:30,False,False,False,0,0.48,0.61,12.58,False,0.5,True,0.5,False,False,1164.29,1277.43,5,2.0,3.14
NOW,242.536,0,True,True,1.764305,False,2025-09-15 15:30,False,False,False,0,0.48,0.61,12.58,False,0.5,True,0.67,False,False,239.01,249.59,56,2.0,1.45
