symbol,price,score,regime,direction,atr,entry_ok,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
GOOGL,252.81,2,True,True,0.922621,True,2025-09-22 15:45,True,False,False,True,1,1.47,1.42,14.71,True,1.0,False,0.17,True,False,250.96,256.5,108,2.0,0.73
INTC,29.085,2,True,True,0.240545,False,2025-09-22 15:45,True,True,True,True,3,1.85,17.06,3.41,True,1.0,False,0.33,False,False,28.6,30.05,415,2.0,1.65
AMZN,229.2137,1,True,False,0.725556,False,2025-09-22 15:45,True,True,False,True,2,2.18,-1.1,6.26,False,0.33,False,0.33,False,False,227.76,232.12,137,2.0,0.63
ZM,84.5,1,True,True,0.287205,False,2025-09-22 15:45,True,False,False,True,1,0.22,-2.09,3.75,False,0.67,True,0.5,False,False,83.93,85.65,348,2.0,0.68
COIN,331.5851,1,True,True,2.700441,False,2025-09-22 15:45,True,False,True,True,2,0.51,3.44,13.81,False,0.67,True,0.5,False,False,326.18,342.39,37,2.0,1.63
RIOT,17.395,1,True,True,0.208182,False,2025-09-22 15:45,True,False,False,True,1,0.96,-0.34,21.66,False,0.67,False,0.17,False,False,16.98,18.23,480,2.0,2.39
C,102.845,1,True,True,0.265117,False,2025-09-22 15:45,True,False,False,True,1,0.21,1.07,16.5,True,1.0,True,0.5,False,False,102.31,103.91,377,2.0,0.52
WFC,84.73,1,True,True,0.25087,False,2025-09-22 15:45,True,False,True,True,2,0.27,2.73,7.83,True,1.0,True,0.5,False,False,84.23,85.73,398,2.0,0.59
PYPL,67.135,1,False,False,0.270296,False,2025-09-22 15:45,True,False,False,False,0,0.4,-2.16,-3.14,False,0.0,False,0.17,False,False,66.59,68.22,369,2.0,0.81
SAP,264.345,1,False,False,0.716298,False,2025-09-22 15:45,True,False,False,False,0,0.26,1.12,1.87,False,0.0,True,0.5,False,False,262.91,267.21,139,2.0,0.54
PM,160.865,1,True,False,0.638221,False,2025-09-22 15:45,True,False,False,True,1,0.29,-3.27,6.95,False,0.33,False,0.17,False,False,159.59,163.42,156,2.0,0.79
ETN,375.52,1,True,True,1.171498,False,2025-09-22 15:45,True,False,False,True,1,1.32,0.89,6.45,True,1.0,True,0.67,False,False,373.18,380.21,85,2.0,0.62
VNQ,91.48,1,True,False,0.187664,False,2025-09-22 15:45,True,False,False,False,0,0.46,-0.62,1.83,False,0.33,False,0.0,False,False,91.1,92.23,532,2.0,0.41
BETR,60.5,1,True,True,6.519529,False,2025-09-22 15:45,True,True,True,True,3,6.99,114.16,33.34,True,1.0,True,0.67,False,False,47.46,86.58,15,2.0,21.55
NFLX,1219.79,0,True,False,3.839137,False,2025-09-22 15:45,True,False,False,True,1,0.31,-0.71,11.87,False,0.67,True,0.67,False,False,1212.11,1235.15,26,2.0,0.63
META,776.93,0,True,True,2.65793,False,2025-09-22 15:45,True,False,False,True,1,0.37,0.16,11.36,True,1.0,True,0.83,False,False,771.61,787.56,37,2.0,0.68
AAPL,255.18,0,True,True,1.18033,False,2025-09-22 15:45,True,True,True,True,3,2.46,3.09,3.87,True,1.0,True,0.67,True,False,252.82,259.9,84,2.0,0.93
MSFT,514.39,0,True,True,1.491766,False,2025-09-22 15:45,True,True,False,True,2,2.39,1.75,8.91,True,1.0,True,0.67,True,False,511.41,520.36,67,2.0,0.58
NVDA,175.875,0,True,True,0.599027,False,2025-09-22 15:45,True,False,False,True,1,1.35,1.02,16.64,True,1.0,True,0.67,True,False,174.68,178.27,166,2.0,0.68
AMD,161.1671,0,True,True,0.847915,False,2025-09-22 15:45,True,False,False,True,1,1.17,-1.91,12.97,True,1.0,True,0.67,False,False,159.47,164.56,117,2.0,1.05
SNOW,227.68,0,True,True,1.115946,False,2025-09-22 15:45,True,False,True,True,2,0.25,4.46,13.63,True,1.0,True,0.83,False,False,225.45,232.14,89,2.0,0.98
PLTR,180.17,0,True,True,1.083092,False,2025-09-22 15:45,True,True,True,True,3,1.83,7.12,32.46,True,1.0,True,0.5,False,False,178.0,184.5,92,2.0,1.2
ARM,142.75,0,True,False,0.748452,False,2025-09-22 15:45,True,False,False,True,1,0.32,-6.92,3.96,False,0.33,False,0.33,False,False,141.25,145.74,133,2.0,1.05
SMCI,46.13,0,True,True,0.328376,False,2025-09-22 15:45,True,False,True,False,1,0.42,2.74,-0.07,True,1.0,True,0.5,False,False,45.47,47.44,304,2.0,1.42
CRM,247.89,0,False,True,0.988823,False,2025-09-22 15:45,True,False,True,False,1,0.26,2.35,-7.11,False,0.67,True,0.83,False,False,245.91,251.85,101,2.0,0.8
AVGO,343.735,0,True,True,1.61707,False,2025-09-22 15:45,True,False,False,True,1,0.2,-0.75,25.09,False,0.67,True,0.5,False,False,340.5,350.2,61,2.0,0.94
ORCL,319.59,0,True,True,2.664512,False,2025-09-22 15:45,True,False,False,True,1,0.81,0.66,25.23,True,1.0,False,0.33,False,False,314.26,330.25,37,2.0,1.67
WDAY,237.92,0,False,True,1.215456,False,2025-09-22 15:45,True,False,False,False,0,0.25,1.29,-4.1,False,0.67,True,0.67,False,False,235.49,242.78,82,2.0,1.02
NOW,945.53,0,True,True,4.517942,False,2025-09-22 15:45,True,False,False,False,0,0.29,-0.51,-0.52,False,0.67,False,0.33,False,False,936.49,963.6,22,2.0,0.96
ADBE,362.23,0,False,True,1.599289,False,2025-09-22 15:45,True,False,False,False,0,0.24,0.04,-9.91,False,0.33,False,0.33,False,False,359.03,368.63,62,2.0,0.88
OKTA,93.23,0,False,True,0.583451,False,2025-09-22 15:45,True,False,True,False,1,0.43,3.59,-2.69,False,0.67,True,0.83,False,False,92.06,95.56,171,2.0,1.25
VEEV,277.61,0,True,False,1.037058,False,2025-09-22 15:45,True,False,False,True,1,0.22,1.1,8.86,False,0.67,True,0.83,False,False,275.54,281.76,96,2.0,0.75
NET,227.21,0,True,True,1.380627,False,2025-09-22 15:45,True,False,True,True,2,0.31,6.23,26.33,True,1.0,True,0.5,False,False,224.45,232.73,72,2.0,1.22
FTNT,83.765,0,False,True,0.43662,False,2025-09-22 15:45,True,False,True,False,1,0.3,4.39,-6.38,False,0.67,True,0.67,False,False,82.89,85.51,229,2.0,1.04
TEAM,169.66,0,False,False,0.956133,False,2025-09-22 15:45,True,False,False,False,0,0.23,-1.5,-11.52,False,0.0,True,0.5,False,False,167.75,173.48,104,2.0,1.13
DDOG,137.09,0,True,True,0.713834,False,2025-09-22 15:45,True,False,True,True,2,0.23,2.13,5.24,True,1.0,True,0.5,False,False,135.66,139.95,140,2.0,1.04
