symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric
AAPL,266.37,3,True,True,0.751347,True,Varsayılan,2026-04-15 19:45,True,False,False,False,0,1.25,2.28,1,1.74,2.94,neutral,2.07,1.5,2.0,2.12,high_liquidity,3,60,2.74,True,1.0,True,0.5,True,True,265.24,270.13,1000,3.33,0.42,0.5,0.0,0.0
MSFT,411.2728,3,False,True,1.523953,False,Varsayılan,2026-04-15 19:45,True,False,True,False,1,1.49,10.88,3,2.96,10.88,bullish,2.32,1.5,2.0,2.54,high_liquidity,3,60,-9.97,False,0.67,False,0.33,True,False,408.99,418.89,1000,3.33,0.56,0.5,0.0,0.0
GOOGL,337.15,1,True,True,0.944314,False,Varsayılan,2026-04-15 19:45,True,False,False,True,1,1.01,6.27,3,1.75,6.27,neutral,2.1,1.5,2.0,2.17,high_liquidity,3,60,11.91,True,1.0,False,0.33,True,False,335.73,341.87,1000,3.33,0.42,0.5,0.0,0.0
GOOG,334.45,1,True,True,0.90983,False,Varsayılan,2026-04-15 19:45,True,False,False,True,1,0.95,5.94,3,1.73,5.94,neutral,2.05,1.5,2.0,2.08,high_liquidity,3,60,11.49,True,1.0,False,0.33,False,False,333.09,339.0,1000,3.33,0.41,0.5,0.0,0.0
META,671.56,2,True,True,2.298617,True,Varsayılan,2026-04-15 19:45,True,False,False,False,0,0.92,6.62,5,1.48,9.66,neutral,2.03,1.5,2.0,2.05,high_liquidity,3,60,-4.0,True,1.0,False,0.33,False,True,668.11,683.05,1000,3.33,0.51,0.5,0.0,0.0
AMZN,248.41,1,True,True,0.71685,False,Varsayılan,2026-04-15 19:45,True,False,False,False,0,0.93,4.25,5,1.97,12.32,neutral,2.22,1.5,2.0,2.36,high_liquidity,3,60,-0.46,True,1.0,False,0.33,False,False,247.33,251.99,1000,3.33,0.43,0.5,0.0,0.0
NVDA,198.8678,2,True,True,0.769716,True,Varsayılan,2026-04-15 19:45,True,False,False,True,1,1.27,5.43,5,1.91,9.22,neutral,2.1,1.5,2.0,2.17,high_liquidity,3,60,4.29,True,1.0,False,0.33,True,True,197.71,202.72,1000,3.33,0.58,0.5,0.0,0.0
TSLA,392.03,3,True,True,2.766948,True,Varsayılan,2026-04-15 19:45,True,True,True,False,2,1.59,12.32,5,4.34,14.19,bullish,2.02,1.5,2.0,2.04,high_liquidity,3,60,-0.82,True,1.0,False,0.33,False,True,387.88,405.86,1000,3.33,1.06,0.5,0.0,0.0
ADBE,244.67,2,False,False,0.982027,False,Varsayılan,2026-04-15 19:45,True,False,True,False,1,1.0,8.57,3,2.55,8.57,bullish,2.18,1.5,2.0,2.31,high_liquidity,3,60,-18.69,False,0.33,True,0.67,False,False,242.21,251.05,1000,2.6,1.0,0.5,0.0,0.0
CRM,177.6,1,False,False,0.813656,False,Varsayılan,2026-04-15 19:45,True,False,True,False,1,1.01,7.66,3,2.12,7.66,bullish,2.08,1.5,2.0,2.14,high_liquidity,3,60,-15.22,False,0.33,True,0.67,False,False,175.57,182.89,1000,2.6,1.15,0.5,0.0,0.0
ORCL,169.79,3,False,True,1.052439,False,Varsayılan,2026-04-15 19:45,True,False,True,False,1,1.44,22.97,3,3.45,22.97,bullish,2.33,1.5,2.0,2.55,high_liquidity,3,60,-16.67,False,0.67,True,0.5,False,False,168.21,175.05,1000,3.33,0.93,0.5,0.0,0.0
INTC,64.935,0,True,True,0.371368,False,Varsayılan,2026-04-15 19:45,True,False,False,True,1,0.76,4.1,5,0.67,10.16,neutral,2.24,1.5,2.0,2.4,high_liquidity,3,60,25.84,True,1.0,True,0.5,False,False,64.38,66.79,1000,3.33,0.86,0.5,0.0,0.0
AMD,258.11,1,True,True,1.051445,False,Varsayılan,2026-04-15 19:45,True,False,False,True,1,0.8,5.34,5,1.19,11.35,neutral,2.09,1.5,2.0,2.15,high_liquidity,3,60,9.55,True,1.0,True,0.5,False,False,256.53,263.37,1000,3.33,0.61,0.5,0.0,0.0
AVGO,396.61,2,True,True,1.679716,True,Varsayılan,2026-04-15 19:45,True,False,False,True,1,1.24,6.77,5,1.78,13.14,neutral,2.1,1.5,2.0,2.17,high_liquidity,3,60,5.71,True,1.0,False,0.33,False,True,394.09,405.01,1000,3.33,0.64,0.5,0.0,0.0
QCOM,133.05,2,False,False,0.467694,False,Varsayılan,2026-04-15 19:45,True,False,False,False,0,1.05,3.9,5,1.79,4.34,neutral,2.01,1.5,2.0,2.02,high_liquidity,3,60,-9.56,False,0.67,True,0.5,False,False,131.88,136.09,1000,2.6,0.88,0.5,0.0,0.0
TXN,216.28,1,True,True,0.712907,False,Varsayılan,2026-04-15 19:45,True,False,False,True,1,0.9,0.73,1,-0.64,-1.18,neutral,2.17,1.5,2.0,2.28,high_liquidity,3,60,5.5,True,1.0,True,0.5,False,False,215.21,219.84,1000,3.33,0.49,0.5,0.0,0.0
MU,456.24,2,True,True,3.077098,True,Varsayılan,2026-04-15 19:45,True,False,False,True,1,0.86,8.47,3,0.87,8.47,neutral,1.99,1.5,2.0,1.98,high_liquidity,3,60,37.7,True,1.0,True,0.5,False,True,451.62,471.63,1000,3.33,1.01,0.5,0.0,0.0
AMAT,394.26,1,True,True,2.10927,False,Varsayılan,2026-04-15 19:45,True,False,False,True,1,1.12,-1.31,3,-0.45,-1.31,neutral,2.0,1.5,2.0,2.01,high_liquidity,3,60,26.66,True,1.0,True,0.67,False,False,391.1,404.81,1000,3.33,0.8,0.5,0.0,0.0
LRCX,265.15,1,True,True,1.636603,False,Varsayılan,2026-04-15 19:45,True,False,False,True,1,1.3,0.57,1,-0.78,-2.66,neutral,2.21,1.5,2.0,2.35,high_liquidity,3,60,29.33,True,1.0,True,0.67,False,False,262.7,273.33,1000,3.33,0.93,0.5,0.0,0.0
KLAC,1748.1,2,True,True,10.592153,True,Varsayılan,2026-04-15 19:45,True,False,False,True,1,1.46,0.62,1,-0.79,-2.66,neutral,1.94,1.5,1.6,2.16,mid_liquidity,3,60,21.28,True,1.0,True,0.83,False,True,1732.21,1801.06,1000,3.33,0.91,0.5,0.0,0.0
SNPS,438.45,3,False,True,2.215978,False,Varsayılan,2026-04-15 19:45,True,False,True,False,1,1.35,11.78,3,2.71,11.78,bullish,2.2,1.5,2.0,2.33,high_liquidity,3,60,-7.74,False,0.67,True,0.5,False,False,435.13,449.53,1000,3.33,0.76,0.5,0.0,0.0
CDNS,304.02,2,False,True,1.942961,False,Varsayılan,2026-04-15 19:45,True,False,True,False,1,1.21,14.47,3,3.2,14.47,bullish,2.28,1.5,2.0,2.46,high_liquidity,3,60,-4.88,False,0.67,True,0.67,False,False,301.11,313.73,1000,3.33,0.96,0.5,0.0,0.0
MRVL,134.6,0,True,True,0.831038,False,Varsayılan,2026-04-15 19:45,True,False,False,True,1,0.78,4.76,5,1.6,17.66,neutral,2.21,1.5,2.0,2.35,high_liquidity,3,60,13.69,True,1.0,True,0.67,False,False,133.35,138.76,1000,3.33,0.93,0.5,0.0,0.0
ADI,347.94,1,True,True,1.090485,False,Varsayılan,2026-04-15 19:45,True,False,False,True,1,0.89,-0.63,3,-0.42,-0.63,neutral,2.09,1.5,2.0,2.16,high_liquidity,3,60,15.05,True,1.0,True,0.83,False,False,346.3,353.39,1000,3.33,0.47,0.5,0.0,0.0
NXPI,209.39,1,False,True,0.654421,False,Varsayılan,2026-04-15 19:45,True,False,False,False,0,0.6,2.46,3,0.8,2.46,neutral,2.02,1.5,2.0,2.04,high_liquidity,3,60,-2.88,False,0.67,True,0.83,False,False,208.41,212.66,1000,3.33,0.47,0.5,0.0,0.0
MCHP,74.51,1,True,True,0.27839,False,Varsayılan,2026-04-15 19:45,True,False,False,True,1,0.88,4.09,5,0.98,5.32,neutral,2.19,1.5,2.0,2.31,high_liquidity,3,60,3.9,True,1.0,True,0.67,False,False,74.09,75.9,1000,3.33,0.56,0.5,0.0,0.0
