symbol,price,score,regime,direction,atr,entry_ok,market_status,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,momentum_best_horizon,momentum_best_zscore,momentum_best_return_pct,momentum_bias,momentum_z_effective,momentum_z_base,momentum_z_segment,momentum_z_dynamic,momentum_liquidity_segment,momentum_dynamic_samples,momentum_baseline_window,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,kelly_fraction,sentiment,onchain_metric,composite_score
RR,2.64,1,False,True,0.037148,False,Varsayılan,2026-05-08 18:00,False,False,False,False,0,0.84,9.54,3,1.42,9.54,neutral,2.13,1.5,2.0,2.21,high_liquidity,3,60,-13.57,False,0.67,True,0.5,False,False,2.58,2.83,1000,3.33,2.11,0.5,0.0,0.0,29
HTLD,13.12,1,True,True,0.044788,False,Varsayılan,2026-05-08 18:00,True,False,False,True,1,0.55,2.74,5,-0.57,-2.6,neutral,2.11,1.5,1.6,2.44,mid_liquidity,3,60,13.92,True,1.0,True,0.67,False,False,13.01,13.41,1000,2.6,0.85,0.5,0.0,0.0,56
EH,10.2616,2,False,False,0.057302,False,Varsayılan,2026-05-08 18:00,True,False,False,False,0,0.32,1.4,1,-0.37,-1.43,neutral,1.94,1.5,1.6,2.17,mid_liquidity,3,60,-19.4,False,0.0,True,0.5,False,False,10.12,10.63,1000,2.6,1.4,0.5,0.0,0.0,16
FWRD,10.105,1,False,False,0.44317,False,Varsayılan,2026-05-08 18:00,True,True,False,False,1,3.85,-40.66,1,-5.38,-41.69,bearish,2.18,1.5,2.0,2.31,high_liquidity,3,60,-12.93,False,0.0,False,0.33,False,False,9.0,12.99,1000,2.6,10.96,0.5,0.0,0.0,20
SWIM,5.46,2,False,False,0.067768,False,Varsayılan,2026-05-08 18:00,True,False,False,False,0,1.04,-6.83,1,-1.38,-5.04,neutral,2.08,1.5,1.6,2.39,mid_liquidity,3,60,-7.32,False,0.0,False,0.17,False,False,5.29,5.9,1000,2.6,3.1,0.5,0.0,0.0,13
STKL,6.495,1,True,True,0.007613,False,Varsayılan,2026-05-01 19:45,True,False,False,True,1,0.0,0.0,3,-0.22,0.0,neutral,2.1,1.5,1.6,2.43,mid_liquidity,3,60,9.74,True,1.0,True,0.5,False,False,6.48,6.54,1000,2.75,0.23,0.5,0.0,0.0,55
LOT,1.2401,2,False,False,0.011093,False,Varsayılan,2026-05-08 18:00,False,False,False,False,0,0.4,4.65,1,0.64,2.49,neutral,2.2,1.5,1.4,2.73,low_liquidity,3,60,-19.84,False,0.33,False,0.33,False,False,1.21,1.31,1000,2.6,2.24,0.5,0.0,0.0,18
TRNS,77.17,1,True,True,0.517759,False,Varsayılan,2026-05-08 17:30,False,False,False,False,0,0.43,2.44,5,1.31,6.43,neutral,1.8,1.5,1.4,2.06,low_liquidity,3,60,1.9,True,1.0,True,0.67,False,False,75.88,80.54,1000,2.6,1.68,0.5,0.0,0.0,46
NWPX,110.63,0,True,True,0.624315,False,Varsayılan,2026-05-08 18:00,False,False,False,True,1,0.42,-0.7,3,-0.43,-0.7,neutral,2.19,1.5,1.4,2.72,low_liquidity,3,60,25.89,True,1.0,True,0.5,False,False,109.69,113.75,1000,3.33,0.85,0.5,0.0,0.0,49
KRNT,16.23,1,True,True,0.095258,False,Varsayılan,2026-05-08 17:45,False,False,False,False,0,0.18,0.06,5,0.17,1.82,neutral,1.93,1.5,1.4,2.29,low_liquidity,3,60,-3.23,False,0.67,True,0.5,False,False,16.09,16.71,1000,3.33,0.88,0.5,0.0,0.0,40
