symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
BETR,26.26,2,True,True,0.24992,True,2025-09-15 19:45,False,True,True,2,1.01,9.28,20.81,True,1.0,True,0.5,False,True,25.76,27.26,400,2.0,1.9
VRNA,106.37,3,True,True,0.036167,False,2025-09-15 19:45,False,False,True,1,0.91,0.0,32.26,False,0.67,False,0.17,False,False,106.3,106.51,2764,2.0,0.07
WTW,333.77,3,True,True,0.804982,False,2025-09-15 19:45,False,False,True,1,0.82,1.05,3.75,False,0.67,True,0.5,False,False,332.16,336.99,124,2.0,0.48
ARQQW,0.125,2,False,False,0.005807,False,2025-09-15 19:45,False,False,False,0,0.0,0.0,0.0,False,0.0,False,0.17,False,False,0.11,0.15,17220,2.0,9.29
AZN,78.05,2,True,False,0.161542,False,2025-09-15 19:45,True,False,True,2,1.4,-3.42,5.51,False,0.33,False,0.33,False,False,77.73,78.7,619,2.0,0.41
BGL,9.73,2,False,False,0.187893,False,2025-09-15 19:45,True,True,False,2,2.41,31.44,-25.77,False,0.5,True,0.67,False,False,9.35,10.48,532,2.0,3.86
IMCR,34.34,2,True,True,0.183094,False,2025-09-15 19:45,False,False,False,0,0.46,-5.45,0.48,False,0.67,True,0.5,False,False,33.97,35.07,546,2.0,1.07
ARM,153.86,1,True,True,0.688081,False,2025-09-15 19:45,False,False,True,1,0.59,-0.18,3.74,True,1.0,True,0.5,False,False,152.48,156.61,145,2.0,0.89
ARBKL,1.9,1,False,False,0.075405,False,2025-09-15 19:45,False,True,False,1,0.85,2.69,-44.29,False,0.0,False,0.33,False,False,1.75,2.2,1326,2.0,7.94
ARQQ,33.18,1,True,True,0.341927,False,2025-09-15 19:45,True,True,True,3,1.36,19.28,25.23,True,1.0,False,0.33,False,False,32.5,34.55,292,2.0,2.06
ARBK,0.2601,1,False,False,0.003731,False,2025-09-15 19:45,False,True,False,1,0.89,4.0,-40.57,False,0.0,False,0.17,False,False,0.25,0.28,26805,2.0,2.87
AKTX,0.7755,1,False,False,0.01096,False,2025-09-15 19:45,False,False,False,0,0.11,-1.77,-26.04,False,0.0,False,0.17,False,False,0.75,0.82,9124,2.0,2.83
ADAP,0.0664,1,False,False,0.001962,False,2025-09-15 19:45,True,True,False,2,2.17,31.37,-67.9,False,0.33,True,0.5,False,False,0.06,0.07,50962,2.0,5.91
ATAI,4.66,1,True,True,0.035552,False,2025-09-15 19:45,False,False,True,1,0.76,-1.48,50.43,True,1.0,True,0.67,False,False,4.59,4.8,2812,2.0,1.53
AUTL,1.315,1,False,False,0.01488,False,2025-09-15 19:45,False,False,False,0,0.66,-4.35,-18.86,False,0.0,False,0.0,False,False,1.29,1.37,6720,2.0,2.26
BCYC,6.853,1,False,False,0.041177,False,2025-09-15 19:45,False,False,False,0,0.98,-2.0,-30.35,False,0.0,False,0.33,False,False,6.77,7.02,2428,2.0,1.2
BNTX,97.91,1,False,False,0.49558,False,2025-09-15 19:45,False,False,False,0,0.92,-3.09,0.43,False,0.0,True,0.67,False,False,96.92,99.89,201,2.0,1.01
CCEP,88.68,1,True,False,0.200665,False,2025-09-15 19:45,False,False,True,1,0.59,-0.14,5.11,False,0.33,True,0.5,False,False,88.28,89.48,498,2.0,0.45
CMPS,5.14,1,True,True,0.04075,False,2025-09-15 19:45,False,True,False,1,0.74,1.78,-0.47,False,0.67,True,0.5,False,False,5.06,5.3,2453,2.0,1.59
CVAC,5.38,1,True,False,0.008891,False,2025-09-15 19:45,False,False,True,1,0.73,-0.37,21.2,False,0.67,True,0.5,False,False,5.36,5.42,11247,2.0,0.33
CNTA,22.02,1,True,True,0.129912,False,2025-09-15 19:45,False,False,True,1,0.43,-3.04,12.81,True,1.0,True,0.5,False,False,21.76,22.54,769,2.0,1.18
EVO,3.49,1,False,False,0.02608,False,2025-09-15 19:45,False,True,False,1,0.56,2.64,-8.22,False,0.33,True,0.67,False,False,3.44,3.59,3834,2.0,1.49
ENGS,7.13,1,True,True,0.156273,False,2025-09-15 19:45,True,True,False,2,3.79,21.06,-1.3,True,1.0,False,0.33,False,False,6.82,7.76,639,2.0,4.38
GSM,4.175,1,True,False,0.018465,False,2025-09-15 19:45,False,False,False,0,0.95,0.24,1.96,False,0.67,True,0.5,False,False,4.14,4.25,5415,2.0,0.88
IFRX,1.2,1,False,False,0.027539,False,2025-09-15 19:45,False,False,False,0,0.76,-22.15,-12.49,False,0.0,False,0.0,False,False,1.14,1.31,3631,2.0,4.59
KALV,13.63,1,True,False,0.112369,False,2025-09-15 19:45,False,False,True,1,0.43,-11.5,10.41,False,0.33,True,0.5,False,False,13.41,14.08,889,2.0,1.65
IMTX,5.7,1,False,False,0.02704,False,2025-09-15 19:45,False,False,False,0,1.0,-1.89,-7.66,False,0.0,False,0.17,False,False,5.65,5.81,3698,2.0,0.95
INDV,23.195,1,True,False,0.12744,False,2025-09-15 19:45,False,False,True,1,0.68,-4.9,35.18,False,0.33,True,0.67,False,False,22.94,23.7,784,2.0,1.1
LBTYA,11.885,1,True,True,0.036533,False,2025-09-15 19:45,False,True,False,1,0.62,3.03,-6.21,True,1.0,True,0.5,False,False,11.81,12.03,2737,2.0,0.61
LBTYK,12.005,1,False,True,0.041441,False,2025-09-15 19:45,False,True,False,1,0.99,2.48,-7.06,False,0.67,True,0.67,False,False,11.92,12.17,2413,2.0,0.69
LIVN,55.38,1,True,True,0.201247,False,2025-09-15 19:45,False,False,True,1,0.75,-1.93,8.61,False,0.67,False,0.17,False,False,54.98,56.18,496,2.0,0.73
MREO,1.755,1,False,False,0.016588,False,2025-09-15 19:45,False,False,False,0,1.27,-1.12,-24.44,False,0.0,False,0.17,False,False,1.72,1.82,6028,2.0,1.89
MYNZ,1.575,1,False,False,0.022446,False,2025-09-15 19:45,False,False,False,0,1.2,-8.43,-24.44,False,0.0,False,0.0,False,False,1.53,1.66,4455,2.0,2.85
NCNA,4.53,1,False,True,0.114383,False,2025-09-15 19:45,True,True,False,2,4.55,38.04,-93.05,False,0.67,True,0.67,False,False,4.3,4.99,874,2.0,5.05
NNNN,42.3,1,True,False,0.385744,False,2025-09-15 19:45,False,False,False,0,0.76,-7.14,78.18,False,0.0,False,0.0,False,False,41.53,43.84,259,2.0,1.82
ONMD,0.8799,1,True,True,0.015002,False,2025-09-15 19:45,False,True,False,1,0.49,1.4,1.69,False,0.67,True,0.5,False,False,0.85,0.94,6665,2.0,3.41
MRX,32.64,1,False,False,0.148461,False,2025-09-15 19:45,False,False,True,1,1.03,-5.36,2.81,False,0.0,False,0.0,False,False,32.34,33.23,673,2.0,0.91
RCT,1.11,1,False,False,0.013287,False,2025-09-15 19:45,True,False,False,1,5.08,-12.89,-31.17,False,0.0,False,0.0,False,False,1.08,1.16,7526,2.0,2.39
RNW,7.715,1,True,True,0.018813,False,2025-09-15 19:45,False,False,True,1,0.63,0.78,9.19,True,1.0,True,0.5,False,False,7.68,7.79,5315,2.0,0.49
RZLV,7.73,1,True,True,0.156276,False,2025-09-15 19:45,True,True,True,3,1.38,23.52,5.13,True,1.0,True,0.67,False,False,7.42,8.36,639,2.0,4.04
SLN,4.71,1,False,False,0.07215,False,2025-09-15 19:45,False,False,False,0,0.95,-1.66,-23.8,False,0.0,True,0.67,False,False,4.57,5.0,1386,2.0,3.06
ROIV,13.935,1,True,True,0.067692,False,2025-09-15 19:45,False,True,True,2,0.71,1.31,6.25,False,0.67,False,0.33,False,False,13.8,14.21,1477,2.0,0.97
SMTK,1.73,1,False,True,0.049247,False,2025-09-15 19:45,False,True,False,1,0.02,11.11,-47.86,False,0.67,True,0.5,False,False,1.63,1.93,2030,2.0,5.69
TLSA,1.7,1,True,False,0.030024,False,2025-09-15 19:45,True,False,True,2,2.0,-2.3,26.29,False,0.33,False,0.33,False,False,1.64,1.82,3330,2.0,3.53
VRAX,0.6469,1,False,False,0.015717,False,2025-09-15 19:45,True,True,False,2,2.95,11.38,-33.64,False,0.33,True,0.83,False,False,0.62,0.71,6362,2.0,4.86
TRMD,23.194,1,True,True,0.10147,False,2025-09-15 19:45,False,True,True,2,0.91,3.06,2.85,True,1.0,True,0.5,False,False,22.99,23.6,985,2.0,0.87
VOD,11.805,1,True,True,0.017696,False,2025-09-15 19:45,False,True,True,2,0.92,1.37,13.16,False,0.67,True,0.67,False,False,11.77,11.88,5650,2.0,0.3
VVPR,4.97,1,True,False,0.055681,False,2025-09-15 19:45,False,False,True,1,1.05,-2.17,30.57,False,0.33,True,0.67,False,False,4.86,5.19,1795,2.0,2.24
XCH,1.29,1,False,True,0.027476,False,2025-09-15 19:00,False,False,False,0,0.37,-0.39,-58.09,False,0.33,False,0.33,False,False,1.24,1.4,3639,2.0,4.26
AKAN,3.33,0,False,False,0.056569,False,2025-09-15 19:45,False,False,False,0,0.39,0.92,-30.71,False,0.0,False,0.17,False,False,3.22,3.56,1767,2.0,3.4
BDRX,6.03,0,False,False,0.133332,False,2025-09-15 19:30,False,True,False,1,0.48,5.14,-79.54,False,0.0,True,0.5,False,False,5.76,6.56,750,2.0,4.42
BRNS,1.05,0,False,False,0.018689,False,2025-09-15 19:45,False,False,True,1,0.91,-4.55,2.58,False,0.0,False,0.0,False,False,1.01,1.12,5350,2.0,3.56
CAPT,1.18,0,False,False,0.008182,False,2025-09-15 19:45,False,True,False,1,1.11,6.36,-3.93,False,0.33,True,0.67,False,False,1.16,1.21,12222,2.0,1.39
TRVG,3.37,0,False,False,0.01138,False,2025-09-15 19:45,False,True,False,1,0.21,3.37,1.03,False,0.33,True,0.83,False,False,3.35,3.42,8787,2.0,0.68
