symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,recommendation_score,why
TSLA,420.845,0,True,True,4.420403,False,2025-09-15 15:30,True,True,True,3,1.93,14.11,7.54,True,1.0,True,0.5,False,False,412.0,438.53,22,2.0,2.1,13.0,Trend: Günlük>EMA200 | 4s>EMA50 | Uyum: Zaman %100 · Momentum %50 | Filtreler: Hacim x1.93 · 3g %+14.1 · EMA fark %7.5 | Sinyal 0/4 · Filtre 3/3
CVX,158.02,0,True,True,0.408542,False,2025-09-15 15:30,False,True,True,2,0.69,1.46,3.38,True,1.0,True,1.0,False,False,157.2,159.65,244,2.0,0.52,12.0,Trend: Günlük>EMA200 | 4s>EMA50 | Uyum: Zaman %100 · Momentum %100 | Filtreler: Hacim x0.69 · 3g %+1.5 · EMA fark %3.4 | Sinyal 0/4 · Filtre 2/3
CAT,433.815,0,True,True,1.545611,False,2025-09-15 15:30,False,True,True,2,0.41,2.58,9.59,True,1.0,True,1.0,False,False,430.72,440.0,64,2.0,0.71,12.0,Trend: Günlük>EMA200 | 4s>EMA50 | Uyum: Zaman %100 · Momentum %100 | Filtreler: Hacim x0.41 · 3g %+2.6 · EMA fark %9.6 | Sinyal 0/4 · Filtre 2/3
RTX,157.22,0,True,True,0.420334,False,2025-09-15 15:30,False,True,True,2,0.22,1.43,11.68,True,1.0,True,1.0,False,False,156.38,158.9,237,2.0,0.53,12.0,Trend: Günlük>EMA200 | 4s>EMA50 | Uyum: Zaman %100 · Momentum %100 | Filtreler: Hacim x0.22 · 3g %+1.4 · EMA fark %11.7 | Sinyal 0/4 · Filtre 2/3
NVDA,177.185,0,True,True,0.732993,False,2025-09-15 15:30,False,True,True,2,0.68,4.14,17.1,True,1.0,True,0.83,True,False,175.72,180.12,136,2.0,0.83,11.96,Trend: Günlük>EMA200 | 4s>EMA50 | Uyum: Zaman %100 · Momentum %83 | Filtreler: Hacim x0.68 · 3g %+4.1 · EMA fark %17.1 | Sinyal 0/4 · Filtre 2/3
META,764.32,0,True,True,3.137381,False,2025-09-15 15:30,False,True,True,2,0.42,1.64,11.29,True,1.0,True,0.83,False,False,758.05,776.87,31,2.0,0.82,11.66,Trend: Günlük>EMA200 | 4s>EMA50 | Uyum: Zaman %100 · Momentum %83 | Filtreler: Hacim x0.42 · 3g %+1.6 · EMA fark %11.3 | Sinyal 0/4 · Filtre 2/3
ZS,286.215,0,True,True,1.236572,False,2025-09-15 15:30,False,True,True,2,0.14,2.66,12.69,True,1.0,True,0.83,False,False,283.74,291.16,80,2.0,0.86,11.66,Trend: Günlük>EMA200 | 4s>EMA50 | Uyum: Zaman %100 · Momentum %83 | Filtreler: Hacim x0.14 · 3g %+2.7 · EMA fark %12.7 | Sinyal 0/4 · Filtre 2/3
SHOP,144.21,0,True,True,0.678901,False,2025-09-15 15:30,False,True,True,2,0.43,1.41,18.8,True,1.0,True,0.83,False,False,142.85,146.93,147,2.0,0.94,11.66,Trend: Günlük>EMA200 | 4s>EMA50 | Uyum: Zaman %100 · Momentum %83 | Filtreler: Hacim x0.43 · 3g %+1.4 · EMA fark %18.8 | Sinyal 0/4 · Filtre 2/3
SOFI,27.235,0,True,True,0.237612,False,2025-09-15 15:30,False,True,True,2,1.01,2.23,34.46,True,1.0,True,0.83,False,False,26.76,28.19,420,2.0,1.74,11.66,Trend: Günlük>EMA200 | 4s>EMA50 | Uyum: Zaman %100 · Momentum %83 | Filtreler: Hacim x1.01 · 3g %+2.2 · EMA fark %34.5 | Sinyal 0/4 · Filtre 2/3
MSFT,513.7813,0,True,True,1.504643,False,2025-09-15 15:30,False,True,True,2,1.19,2.31,9.14,True,1.0,True,0.67,True,False,510.77,519.8,66,2.0,0.59,11.64,Trend: Günlük>EMA200 | 4s>EMA50 | Uyum: Zaman %100 · Momentum %67 | Filtreler: Hacim x1.19 · 3g %+2.3 · EMA fark %9.1 | Sinyal 0/4 · Filtre 2/3 | Yakın: Hacim eşiğe yakın
