symbol,price,score,regime,direction,atr,entry_ok,timestamp,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent,recommendation_score,why,reason
WFC,764.7,0,True,True,15.792685,False,2025-09-15 00:00,True,False,True,2,1.6,0.52,5.5,True,1.0,True,1.0,False,False,733.11,827.87,6,2.0,4.13,12.0,Trend Up | Uyum Z100%/M100% | Filtre 2/3,Bekleyin: Eksik Momentum | R/R 2.0
JPM,764.7,0,True,True,15.792685,False,2025-09-15 00:00,True,False,True,2,1.6,0.52,5.5,True,1.0,True,1.0,False,False,733.11,827.87,6,2.0,4.13,12.0,Trend Up | Uyum Z100%/M100% | Filtre 2/3,Bekleyin: Eksik Momentum | R/R 2.0
RTX,81.0,0,True,True,2.362145,False,2025-09-15 04:00,False,True,True,2,1.06,2.91,3.57,False,0.67,True,0.83,False,False,76.28,90.45,42,2.0,5.83,11.0,Trend Up | Uyum Z67%/M83% | Filtre 2/3,"Bekleyin: Eksik Hacim,Uyum | R/R 2.0"
C,764.7,0,True,True,15.792685,False,2025-09-15 00:00,True,False,False,1,3.13,0.21,0.52,True,1.0,True,1.0,False,False,733.11,827.87,6,2.0,4.13,10.0,Trend Up | Uyum Z100%/M100% | Filtre 1/3,"Bekleyin: Eksik Momentum,Trend | R/R 2.0"
PFE,251.61,0,True,True,5.862752,False,2025-09-15 00:00,False,True,False,1,0.31,2.8,9.48,True,1.0,True,0.83,False,False,239.88,275.06,17,2.0,4.66,9.66,Trend Up | Uyum Z100%/M83% | Filtre 1/3,"Bekleyin: Eksik Hacim,Trend | R/R 2.0"
LLY,1202.26,0,True,True,29.101507,False,2025-09-15 00:00,False,True,False,1,0.31,2.8,9.48,True,1.0,True,0.83,False,False,1144.06,1318.67,3,2.0,4.84,9.66,Trend Up | Uyum Z100%/M83% | Filtre 1/3,"Bekleyin: Eksik Hacim,Trend | R/R 2.0"
CVS,177.75,0,True,True,4.799456,False,2025-09-15 04:00,True,False,False,1,3.13,0.21,0.52,True,1.0,True,0.83,False,False,168.15,196.95,20,2.0,5.4,9.66,Trend Up | Uyum Z100%/M83% | Filtre 1/3,"Bekleyin: Eksik Momentum,Trend | R/R 2.0"
SNOW,231.44,0,True,True,0.63052,False,2025-09-15 19:45,False,False,True,1,1.14,0.86,8.83,True,1.0,True,0.67,False,False,230.18,233.96,158,2.0,0.54,9.34,Trend Up | Uyum Z100%/M67% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
CRM,231.44,0,True,True,0.63052,False,2025-09-15 19:45,False,False,True,1,0.83,1.02,13.33,True,1.0,True,0.67,False,False,230.18,233.96,158,2.0,0.54,9.34,Trend Up | Uyum Z100%/M67% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
ADBE,251.62,0,True,True,2.129192,False,2025-09-15 15:30,False,False,True,1,0.83,1.02,13.33,True,1.0,True,0.5,False,False,247.36,260.14,46,2.0,1.69,9.0,Trend Up | Uyum Z100%/M50% | Filtre 1/3,"Bekleyin: Eksik Hacim,Momentum | R/R 2.0"
