Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
FANG,Diamondback Energy Inc. Common Stock,176.01,1.29,0.738,50431373320.0,United States,2012.0,3473983,Energy,Oil & Gas Production
EXE,Expand Energy Corporation Common Stock,108.06,4.21,4.054,25977435976.0,United States,,5913154,Energy,Oil & Gas Production
WWD,Woodward Inc. Common Stock,394.03,3.11,0.796,23490440862.0,United States,,276407,Energy,Industrial Machinery/Components
VNOM,Viper Energy Inc. Class A Common Stock,45.64,0.55,1.22,16407992905.0,United States,2014.0,5902366,Energy,Oil & Gas Production
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,20.89,0.19,0.918,14737848415.0,United States,1998.0,2150408,Energy,Natural Gas Distribution
APA,APA Corporation Common Stock,29.06,-0.02,-0.069,10306688434.0,United States,,7620016,Energy,Oil & Gas Production
LFUS,Littelfuse Inc. Common Stock,370.33,7.05,1.941,9221841747.0,United States,,232618,Energy,Electrical Products
POWL,Powell Industries Inc. Common Stock,546.82,10.46,1.95,6639643190.0,United States,,211169,Energy,Electrical Products
CHRD,Chord Energy Corporation Common Stock,105.38,0.39,0.371,5992465314.0,United States,,2310124,Energy,Oil & Gas Production
PAGP,Plains GP Holdings L.P. Class A Units representing Limited Partner Interests,22.27,0.19,0.861,4406968521.0,United States,,1919060,Energy,Natural Gas Distribution
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,26.25,0.35,1.351,3371235630.0,United States,1999.0,469781,Energy,Coal Mining
PTEN,Patterson-UTI Energy Inc. Common Stock,8.41,-0.09,-1.059,3192227432.0,United States,1993.0,7308237,Energy,Oil & Gas Production
MGEE,MGE Energy Inc,80.9,0.82,1.024,2956235584.0,United States,,158321,Energy,Electric Utilities: Central
PLUG,Plug Power Inc. Common Stock,1.87,-0.04,-2.094,2604711531.0,United States,1999.0,85067336,Energy,Industrial Machinery/Components
NESR,National Energy Services Reunited Corp Ordinary Shares,24.4,0.2,0.826,2458977320.0,United States,,1573987,Energy,Oilfield Services/Equipment
CLMT,Calumet Inc. Common Stock,28.14,-1.25,-4.253,2441266593.0,United States,2006.0,1189722,Energy,Integrated oil Companies
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,25.36,-0.55,-2.123,1223758212.0,United States,,102359,Energy,Oil & Gas Production
METC,Ramaco Resources Inc. Class A Common Stock,16.56,-0.16,-0.957,1108730949.0,United States,2017.0,1471822,Energy,Coal Mining
ACDC,ProFrac Holding Corp. Class A Common Stock,5.31,-0.31,-5.516,960425982.0,United States,2022.0,999693,Energy,Oilfield Services/Equipment
APC,ARKO Petroleum Corp. Class A Common Stock,19.21,-0.02,-0.104,885794442.0,United States,2026.0,234176,Energy,Oil Refining/Marketing
