Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CME,CME Group Inc. Class A Common Stock,308.09,4.18,1.375,111096220974.0,United States,2002.0,2754355,Finance,Investment Bankers/Brokers/Service
HOOD,Robinhood Markets Inc. Class A Common Stock,76.11,0.46,0.608,68437264820.0,United States,2021.0,30238099,Finance,Investment Bankers/Brokers/Service
HBANL,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,25.65,0.01,0.039,52064174829.0,United States,,12646,Finance,Major Banks
HBANM,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,23.25,0.19,0.824,47192673091.0,United States,,8147,Finance,Major Banks
NDAQ,Nasdaq Inc. Common Stock,81.87,0.46,0.565,46538498491.0,United States,,3449535,Finance,Investment Bankers/Brokers/Service
COIN,Coinbase Global Inc. Class A Common Stock,171.35,5.41,3.26,45249280208.0,United States,,13671235,Finance,Finance: Consumer Services
HBANZ,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/1000th Interest in a Share of 5.50% Series L Non-Cumulative Perpetual Preferred Stock,21.91,-0.02,-0.091,44472751287.0,United States,,14929,Finance,Major Banks
HBAN,Huntington Bancshares Incorporated Common Stock,18.01,0.16,0.896,36556560962.0,United States,,25391251,Finance,Major Banks
HBANP,Huntington Bancshares Incorporated Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock,17.83,-0.01,-0.056,36191198332.0,United States,,22131,Finance,Major Banks
ACGL,Arch Capital Group Ltd. Common Stock,98.49,0.15,0.153,35715028634.0,Bermuda,,2074089,Finance,Property-Casualty Insurers
FITB,Fifth Third Bancorp Common Stock,53.62,0.72,1.361,35443451054.0,United States,,8395459,Finance,Major Banks
IBKR,Interactive Brokers Group Inc. Class A Common Stock,74.395,0.405,0.547,33132863484.0,United States,2019.0,2766785,Finance,Investment Bankers/Brokers/Service
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,301.81,0.8,0.266,28897888890.0,United Kingdom,,828132,Finance,Specialty Insurers
TW,Tradeweb Markets Inc. Class A Common Stock,119.47,0.52,0.437,28152853777.0,United States,2019.0,1004221,Finance,Investment Bankers/Brokers/Service
NTRS,Northern Trust Corporation Common Stock,144.76,-0.26,-0.179,27376630336.0,United States,,862558,Finance,Major Banks
LPLA,LPL Financial Holdings Inc. Common Stock,319.22,-8.7,-2.653,25549609695.0,United States,2010.0,917621,Finance,Investment Bankers/Brokers/Service
CINF,Cincinnati Financial Corporation Common Stock,163.0,0.6,0.369,25431017619.0,United States,,1257767,Finance,Property-Casualty Insurers
FCNCA,First Citizens BancShares Inc. Class A Common Stock,2016.58,-28.72,-1.404,24479585256.0,United States,,148689,Finance,Major Banks
SOFI,SoFi Technologies Inc. Common Stock  ,19.02,-0.28,-1.451,23948369373.0,United States,,68352690,Finance,Finance: Consumer Services
FUTU,Futu Holdings Limited American Depositary Shares,155.37,1.87,1.218,21631777141.0,Hong Kong,2019.0,1155210,Finance,Investment Bankers/Brokers/Service
PFG,Principal Financial Group Inc Common Stock,95.76,3.61,3.918,21037882406.0,United States,2001.0,2935054,Finance,Accident &Health Insurance
TROW,T. Rowe Price Group Inc. Common Stock,95.38,1.02,1.081,20799793297.0,United States,1986.0,1329044,Finance,Investment Bankers/Brokers/Service
CG,The Carlyle Group Inc. Common Stock,53.23,0.25,0.472,19184650170.0,United States,2012.0,3735226,Finance,Investment Managers
FITBM,Fifth Third Bancorp Depositary Shares Representing a 1/40th Ownership Interest in a Share of 6.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series M,26.4,0.0,0.0,17450710702.0,United States,,15155,Finance,Major Banks
