Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IDCC,InterDigital Inc. Common Stock,358.5,10.16,2.917,9208705611.0,United States,,343057,Miscellaneous,Multi-Sector Companies
NOVT,Novanta Inc. Common Stock,145.96,1.03,0.711,5221736953.0,United States,,309508,Miscellaneous,Industrial Machinery/Components
RUN,Sunrun Inc. Common Stock,20.28,0.24,1.198,4705808231.0,United States,2015.0,9558375,Miscellaneous,Industrial Machinery/Components
QS,QuantumScape Corporation Class A Common Stock,6.88,-0.29,-4.045,4137014128.0,United States,,15021938,Miscellaneous,Industrial Machinery/Components
EOSE,Eos Energy Enterprises Inc. Class A Common Stock,10.7,-0.75,-6.55,3084195092.0,United States,,11197781,Miscellaneous,Industrial Machinery/Components
FLNC,Fluence Energy Inc. Class A Common Stock,16.55,-0.01,-0.06,3044128768.0,United States,2021.0,6011269,Miscellaneous,Industrial Machinery/Components
NOVTU,Novanta Inc. Tangible Equity Units,63.06,0.54,0.864,2255979256.0,United States,,1627,Miscellaneous,Industrial Machinery/Components
ENVX,Enovix Corporation Common Stock,5.95,-0.08,-1.327,1284105224.0,United States,2021.0,3938292,Miscellaneous,Industrial Machinery/Components
CTLP,Cantaloupe Inc. Common Stock,10.27,0.09,0.884,757106392.0,United States,,776361,Miscellaneous,Office Equipment/Supplies/Services
MVST,Microvast Holdings Inc. Common Stock,2.24,-0.13,-5.485,735129548.0,United States,2019.0,2233757,Miscellaneous,Industrial Machinery/Components
SLDP,Solid Power Inc. Class A Common Stock,3.47,-0.14,-3.878,719017319.0,United States,2021.0,3782848,Miscellaneous,Industrial Machinery/Components
APPS,Digital Turbine Inc. Common Stock,4.21,0.1,2.433,504778718.0,United States,,2579261,Miscellaneous,Multi-Sector Companies
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,4.16,0.04,0.971,401275172.0,United States,,275279,Miscellaneous,Multi-Sector Companies
BYRN,Byrna Technologies Inc. Common Stock,12.49,-0.26,-2.039,283164325.0,United States,,264085,Miscellaneous,Industrial Machinery/Components
NEOV,NeoVolta Inc. Common Stock,3.67,0.06,1.662,156260977.0,United States,,297822,Miscellaneous,Industrial Machinery/Components
JYNT,The Joint Corp. Common Stock,9.36,0.075,0.808,139147557.0,United States,2014.0,38798,Miscellaneous,Multi-Sector Companies
NVX,NOVONIX Limited American Depository Shares,0.885,0.005,0.568,125657166.0,Australia,,533000,Miscellaneous,Industrial Machinery/Components
ULBI,Ultralife Corporation Common Stock,5.87,0.01,0.171,97729319.0,United States,1992.0,24442,Miscellaneous,Industrial Machinery/Components
CBAT,CBAK Energy Technology Inc. Common Stock,1.04,0.0,0.0,92191669.0,China,,219200,Miscellaneous,Industrial Machinery/Components
SLDPW,Solid Power Inc. Warrant,0.38,-0.02,-5.0,78739649.0,United States,2021.0,6078,Miscellaneous,Industrial Machinery/Components
ELBM,Electra Battery Materials Corporation Common Stock,0.838,-0.016,-1.874,78480575.0,Canada,,664149,Miscellaneous,Industrial Machinery/Components
VHC,VirnetX Holding Corp Common Stock,17.77,0.12,0.68,75892827.0,United States,,12300,Miscellaneous,Multi-Sector Companies
ZEO,Zeo Energy Corporation Class A Common Stock,1.3,0.3124,31.632,74829096.0,United States,2021.0,2380535,Miscellaneous,Industrial Machinery/Components
RMCO,Royalty Management Holding Corporation Class A Common Stock,3.935,-0.035,-0.882,59578788.0,United States,2023.0,7335,Miscellaneous,Multi-Sector Companies
NEOVW,NeoVolta Inc. Warrant,1.38,0.23,20.0,58757534.0,United States,,1070,Miscellaneous,Industrial Machinery/Components
REFR,Research Frontiers Incorporated Common Stock,1.11,0.08,7.767,37349525.0,United States,,48027,Miscellaneous,Multi-Sector Companies
FLUX,Flux Power Holdings Inc. Common Stock,1.51,-0.01,-0.658,32223604.0,United States,,778197,Miscellaneous,Industrial Machinery/Components
STI,Solidion Technology Inc. Common Stock,3.91,0.71,22.188,30285621.0,United States,2022.0,289894,Miscellaneous,Industrial Machinery/Components
DFLI,Dragonfly Energy Holdings Corp. Common Stock (NV),2.48,-0.23,-8.487,29955208.0,United States,2021.0,367241,Miscellaneous,Industrial Machinery/Components
AMOD,Alpha Modus Holdings Inc. Class A Common Stock,0.494,-0.0108,-2.139,20728219.0,United States,,348131,Miscellaneous,Multi-Sector Companies
LASE,Laser Photonics Corporation Common Stock,0.766,-0.0349,-4.358,17445806.0,United States,2022.0,853585,Miscellaneous,Industrial Machinery/Components
CAPT,Captivision Inc. Ordinary Shares,0.4417,0.0131,3.056,14297613.0,United Kingdom,,111038,Miscellaneous,Industrial Machinery/Components
XELB,Xcel Brands Inc. Common Stock,2.17,0.18,9.045,12789579.0,United States,,46037,Miscellaneous,Multi-Sector Companies
MVSTW,Microvast Holdings Inc. Warrants,0.0386,-0.0061,-13.647,12667857.0,United States,2019.0,257726,Miscellaneous,Industrial Machinery/Components
GAUZ,Gauzy Ltd. Ordinary Shares,0.5977,0.0177,3.052,11202149.0,Israel,2024.0,155672,Miscellaneous,Industrial Machinery/Components
TURB,Turbo Energy S.A. American Depositary Shares,0.6818,0.0017,0.25,7511486.0,Spain,2023.0,29257,Miscellaneous,Industrial Machinery/Components
XPON,Expion360 Inc. Common Stock,0.7245,-0.0155,-2.095,6996307.0,United States,2022.0,239356,Miscellaneous,Industrial Machinery/Components
ELPW,Elong Power Holding Limited Class A Ordinary Shares,0.4284,-0.0216,-4.8,5327032.0,China,,518281,Miscellaneous,Industrial Machinery/Components
POLA,Polar Power Inc. Common Stock,1.53,0.01,0.658,4067774.0,United States,2016.0,38309,Miscellaneous,Industrial Machinery/Components
RMCOW,Royalty Management Holding Corporation Warrant,0.242,0.022,10.0,3664058.0,United States,2023.0,195283,Miscellaneous,Multi-Sector Companies
ZEOWW,Zeo Energy Corporation Warrants,0.052,0.0098,23.223,2993164.0,United States,2021.0,83024,Miscellaneous,Industrial Machinery/Components
AMODW,Alpha Modus Holdings Inc. Warrant,0.0627,0.0,0.0,2630889.0,United States,,94,Miscellaneous,Multi-Sector Companies
CAPTW,Captivision Inc. Warrant,0.0446,-0.0002,-0.446,1443680.0,United Kingdom,,1105,Miscellaneous,Industrial Machinery/Components
DFLIW,Dragonfly Energy Holdings Corp. Warrant,0.0386,-0.0014,-3.5,466238.0,United States,2021.0,32404,Miscellaneous,Industrial Machinery/Components
