Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MELI,MercadoLibre Inc. Common Stock,1996.87,0.32,0.016,101235681820.0,Argentina,2007.0,361057,Real Estate,Real Estate
EQIX,Equinix Inc. Common Stock REIT,928.11,10.08,1.098,91191381226.0,United States,2000.0,993550,Real Estate,Real Estate Investment Trusts
EBAY,eBay Inc. Common Stock,88.07,3.32,3.917,39807640000.0,United States,1998.0,8664816,Real Estate,Real Estate
TCOM,Trip.com Group Limited American Depositary Shares,54.57,-0.77,-1.391,35648983027.0,China,2003.0,3529867,Real Estate,Real Estate
FISV,Fiserv Inc. Common Stock,61.47,-0.06,-0.098,33061755494.0,United States,1986.0,8092633,Real Estate,Real Estate
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,25.72,-0.08,-0.31,27590463080.0,United States,,11056,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,25.48,-0.01,-0.039,27333009304.0,United States,,16243,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,25.16,-0.03,-0.119,26989737601.0,United States,,16288,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,25.12,0.05,0.199,26946828638.0,United States,,25145,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,24.98,-0.0155,-0.062,26796647269.0,United States,,22762,Real Estate,Real Estate Investment Trusts
SBAC,SBA Communications Corporation Class A Common Stock,199.54,1.25,0.63,21260361841.0,United States,1999.0,676584,Real Estate,Real Estate Investment Trusts
CSGP,CoStar Group Inc. Common Stock,49.87,0.8,1.63,21136042587.0,United States,1998.0,7901807,Real Estate,Real Estate
GRAB,Grab Holdings Limited Class A Ordinary Shares,4.38,-0.02,-0.455,17844724742.0,Singapore,,26018368,Real Estate,Real Estate
REG,Regency Centers Corporation Common Stock,76.85,1.04,1.372,14056369213.0,United States,1993.0,923779,Real Estate,Real Estate Investment Trusts
HST,Host Hotels & Resorts Inc. Common Stock,20.4,0.33,1.644,14028865412.0,United States,,17518623,Real Estate,Real Estate Investment Trusts
LAMR,Lamar Advertising Company Class A Common Stock,133.98,1.15,0.866,13569987714.0,United States,1996.0,1156863,Real Estate,Real Estate Investment Trusts
AKAM,Akamai Technologies Inc. Common Stock,94.17,-15.42,-14.071,13547789368.0,United States,1999.0,15772766,Real Estate,Real Estate
GLPI,Gaming and Leisure Properties Inc. Common Stock,47.25,-0.1,-0.211,13372144160.0,United States,,3507222,Real Estate,Real Estate Investment Trusts
AGNC,AGNC Investment Corp. Common Stock,11.45,0.13,1.148,12282690602.0,United States,2008.0,43836006,Real Estate,Real Estate Investment Trusts
Z,Zillow Group Inc. Class C Capital Stock,45.46,-0.09,-0.198,10907136699.0,United States,,5060542,Real Estate,Real Estate
ZG,Zillow Group Inc. Class A Common Stock,45.42,-0.12,-0.264,10897539571.0,United States,2011.0,1236677,Real Estate,Real Estate
CART,Maplebear Inc. Common Stock,36.25,0.685,1.926,9516819945.0,United States,2023.0,4470764,Real Estate,Real Estate
LINE,Lineage Inc. Common Stock,38.3,-0.7,-1.795,8743492638.0,United States,2024.0,2340395,Real Estate,Real Estate Investment Trusts
HQY,HealthEquity Inc. Common Stock,78.895,0.015,0.019,6740495784.0,United States,2014.0,649501,Real Estate,Real Estate
FRMI,Fermi Inc. Common Stock,9.12,-0.44,-4.603,5599911447.0,United States,2025.0,5391977,Real Estate,Real Estate Investment Trusts
LYFT,Lyft Inc. Class A Common Stock,13.95,0.05,0.36,5553601034.0,United States,2019.0,15701702,Real Estate,Real Estate
SBRA,Sabra Health Care REIT Inc. Common Stock,19.93,-0.09,-0.45,4969538983.0,United States,,2943470,Real Estate,Real Estate Investment Trusts
PECO,Phillips Edison & Company Inc. Common Stock,39.25,0.89,2.32,4937650000.0,United States,2021.0,1035186,Real Estate,Real Estate Investment Trusts
LAUR,Laureate Education Inc. Common Stock,32.83,-1.16,-3.413,4838129588.0,United States,2017.0,1450530,Real Estate,Other Consumer Services
EXLS,ExlService Holdings Inc. Common Stock,30.07,-0.34,-1.118,4772135612.0,United States,2006.0,2359183,Real Estate,Real Estate
LOPE,Grand Canyon Education Inc. Common Stock,157.32,2.72,1.759,4400000644.0,United States,2008.0,556792,Real Estate,Other Consumer Services
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,18.18,-0.07,-0.384,4388913010.0,United States,,10563,Real Estate,Real Estate Investment Trusts
