Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TXN,Texas Instruments Incorporated Common Stock,219.73,1.68,0.77,199416131571.0,United States,,5457486,Technology,Semiconductors
KLAC,KLA Corporation Common Stock,1496.0,26.1,1.776,196090610056.0,United States,1980.0,684045,Technology,Electronic Components
ADI,Analog Devices Inc. Common Stock,355.03,9.73,2.818,173327121860.0,United States,,5341314,Technology,Semiconductors
SHOP,Shopify Inc. Class A Subordinate Voting Shares,126.2,2.4,1.939,164578855273.0,Canada,,14666829,Technology,Computer Software: Prepackaged Software
QCOM,QUALCOMM Incorporated Common Stock,142.88,1.61,1.14,152452960000.0,United States,1991.0,10261551,Technology,Radio And Television Broadcasting And Communications Equipment
PDD,PDD Holdings Inc. American Depositary Shares,104.94,2.99,2.933,148977699722.0,China,2018.0,15158313,Technology,EDP Services
APP,Applovin Corporation Class A Common Stock,418.68,6.68,1.621,141494999400.0,United States,2021.0,8651507,Technology,Computer Software: Programming Data Processing
ARM,Arm Holdings plc American Depositary Shares,125.58,-1.35,-1.064,133022372994.0,United Kingdom,2023.0,4051975,Technology,Semiconductors
PANW,Palo Alto Networks Inc. Common Stock,148.7,-2.29,-1.517,121339200000.0,United States,,25838952,Technology,Computer peripheral equipment
ADBE,Adobe Inc. Common Stock,258.61,-0.6,-0.231,106159405000.0,United States,1986.0,6589239,Technology,Computer Software: Prepackaged Software
INTU,Intuit Inc. Common Stock,380.55,-0.99,-0.259,105945120000.0,United States,1993.0,4120393,Technology,Computer Software: Prepackaged Software
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,388.6,-33.54,-7.945,97965453784.0,United States,2019.0,8329880,Technology,Computer Software: Prepackaged Software
WDC,Western Digital Corporation Common Stock,285.52,0.85,0.299,96802107489.0,United States,,10497113,Technology,Electronic Components
SNDK,Sandisk Corporation Common Stock,649.97,28.88,4.65,95936203771.0,United States,,17003186,Technology,Electronic Components
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),411.11,2.14,0.523,89652018574.0,Ireland,2002.0,2961601,Technology,Electronic Components
SNPS,Synopsys Inc. Common Stock,439.94,-2.5,-0.565,84168531548.0,United States,1992.0,1697067,Technology,Computer Software: Prepackaged Software
CDNS,Cadence Design Systems Inc. Common Stock,296.28,-0.31,-0.105,80647712280.0,United States,,2534078,Technology,Computer Software: Prepackaged Software
DASH,DoorDash Inc. Class A Common Stock,176.29,0.1,0.057,75980728915.0,United States,,7760146,Technology,EDP Services
NTES,NetEase Inc. American Depositary Shares,118.41,-0.75,-0.629,74977008808.0,China,,955635,Technology,Computer Software: Prepackaged Software
MRVL,Marvell Technology Inc. Common Stock,79.48,-0.13,-0.163,69241921062.0,United States,2000.0,8788832,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,80.0,-1.67,-2.045,59491848160.0,United States,2009.0,6702010,Technology,Computer peripheral equipment
NXPI,NXP Semiconductors N.V. Common Stock,232.27,0.16,0.069,58456429379.0,Netherlands,2010.0,2120181,Technology,Semiconductors
MPWR,Monolithic Power Systems Inc. Common Stock,1204.1,28.88,2.457,57684818700.0,United States,2004.0,375905,Technology,Semiconductors
FER,Ferrovial SE Ordinary Shares,72.76,1.2,1.677,52400740054.0,Netherlands,,1135273,Technology,Industrial Machinery/Components
ADSK,Autodesk Inc. Common Stock,226.98,-2.12,-0.925,48119760000.0,United States,,1743079,Technology,Computer Software: Prepackaged Software
BIDU,Baidu Inc. ADS,135.86,-1.25,-0.912,46704713931.0,China,2005.0,2267244,Technology,Computer Software: Programming Data Processing
CRWV,CoreWeave Inc. Class A Common Stock,89.25,-7.89,-8.122,44474837946.0,United States,2025.0,46265519,Technology,Computer Software: Prepackaged Software
MCHP,Microchip Technology Incorporated Common Stock,77.73,0.57,0.739,42062459150.0,United States,1993.0,7042361,Technology,Semiconductors
DDOG,Datadog Inc. Class A Common Stock,115.66,-4.94,-4.096,40778949528.0,United States,2019.0,4546738,Technology,Computer Software: Prepackaged Software
ERIC,Ericsson American Depositary Shares,11.33,0.08,0.711,37935692158.0,Sweden,,7701405,Technology,Radio And Television Broadcasting And Communications Equipment
MSTR,Strategy Inc Common Stock Class A,131.05,1.6,1.236,37657706972.0,United States,1998.0,17592037,Technology,Computer Software: Prepackaged Software
MCHPP,Microchip Technology Incorporated Depositary Shares Each Representing a 1/20th Interest in a Share of 7.50% Series A Mandatory Convertible Preferred Stock,68.0,0.33,0.488,36797211144.0,United States,,12842,Technology,Semiconductors
WDAY,Workday Inc. Class A Common Stock,137.81,-2.21,-1.578,36244030000.0,United States,,4018716,Technology,EDP Services
ROP,Roper Technologies Inc. Common Stock,335.79,3.79,1.142,36143572620.0,United States,1992.0,2482718,Technology,Computer Software: Programming Data Processing
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,65.03,0.04,0.062,31100397208.0,United States,1998.0,9677904,Technology,EDP Services
STRF,Strategy Inc 10.00% Series A Perpetual Strife Preferred Stock,100.96,0.1,0.099,29011233086.0,United States,,79334,Technology,Computer Software: Prepackaged Software
STRC,Strategy Inc Variable Rate Series A Perpetual Stretch Preferred Stock,99.82,0.16,0.161,28683649828.0,United States,,457746,Technology,Computer Software: Prepackaged Software
MDB,MongoDB Inc. Class A Common Stock,344.56,-11.33,-3.184,28044344826.0,United States,2017.0,1382441,Technology,Computer Software: Prepackaged Software
ON,ON Semiconductor Corporation Common Stock,69.11,1.02,1.498,27230758828.0,United States,,5270650,Technology,Semiconductors
ZM,Zoom Communications Inc. Class A Common Stock,90.29,-0.67,-0.737,26734956491.0,United States,2019.0,3060686,Technology,Computer Software: Programming Data Processing
FSLR,First Solar Inc. Common Stock,241.88,8.58,3.678,25955693145.0,United States,2006.0,2803443,Technology,Semiconductors
GFS,GlobalFoundries Inc. Ordinary Shares,46.19,0.75,1.651,25539043294.0,United States,2021.0,2503086,Technology,Semiconductors
ZS,Zscaler Inc. Common Stock,159.75,-9.24,-5.468,25475525478.0,United States,2018.0,3258553,Technology,EDP Services
FLEX,Flex Ltd. Ordinary Shares,65.68,0.57,0.875,24148823328.0,Singapore,1994.0,4125570,Technology,Electrical Products
NBIS,Nebius Group N.V. Class A Ordinary Shares,97.92,-9.69,-9.005,23315616732.0,Netherlands,2011.0,17240954,Technology,Computer Software: Programming Data Processing
STRK,Strategy Inc 8.00% Series A Perpetual Strike Preferred Stock,80.02,1.12,1.42,22994045875.0,United States,,89217,Technology,Computer Software: Prepackaged Software
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,124.06,-6.6,-5.051,22409171059.0,United States,2022.0,5192593,Technology,Semiconductors
STRD,Strategy Inc 10.00% Series A Perpetual Stride Preferred Stock,77.25,0.835,1.093,22198076029.0,United States,,46551,Technology,Computer Software: Prepackaged Software
ALAB,Astera Labs Inc. Common Stock,129.68,-2.94,-2.217,21903420923.0,United States,2024.0,3640860,Technology,Semiconductors
NTAP,NetApp Inc. Common Stock,102.48,0.88,0.866,20297224463.0,United States,1995.0,1819294,Technology,Electronic Components
TEAM,Atlassian Corporation Class A Common Stock,75.98,-4.28,-5.333,20039274743.0,Australia,2015.0,9552653,Technology,Computer Software: Prepackaged Software
VRSN,VeriSign Inc. Common Stock,215.91,-0.71,-0.328,19798947000.0,United States,1998.0,504122,Technology,EDP Services
SMCI,Super Micro Computer Inc. Common Stock,32.42,0.26,0.808,19419237256.0,United States,2020.0,26023498,Technology,Computer Manufacturing
PTC,PTC Inc. Common Stock,155.16,0.765,0.495,18463437359.0,United States,,900757,Technology,Computer Software: Prepackaged Software
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,243.59,1.03,0.425,18272165772.0,United States,2012.0,796679,Technology,Semiconductors
SSNC,SS&C Technologies Holdings Inc. Common Stock,71.38,0.01,0.014,17418676026.0,United States,2010.0,2178446,Technology,Computer Software: Prepackaged Software
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,159.04,-0.01,-0.006,17234929898.0,Israel,1996.0,1559536,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,124.64,0.47,0.379,16227337782.0,United States,2013.0,1772859,Technology,Retail: Computer Software & Peripheral Equipment
TSEM,Tower Semiconductor Ltd. Ordinary Shares,128.47,2.61,2.074,14357373357.0,Israel,1994.0,1380402,Technology,Semiconductors
NVMI,Nova Ltd. Ordinary Shares,441.24,-1.43,-0.323,14023918565.0,Israel,2000.0,337427,Technology,Electronic Components
GEN,Gen Digital Inc. Common Stock,22.35,0.01,0.045,13536585349.0,United States,,5498689,Technology,Computer Software: Prepackaged Software
LSCC,Lattice Semiconductor Corporation Common Stock,97.76,2.66,2.797,13372237877.0,United States,,1972055,Technology,Semiconductors
IREN,IREN Limited Ordinary Shares,39.98,-3.31,-7.646,13284569712.0,Australia,2021.0,41306278,Technology,EDP Services
