Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CEG,Constellation Energy Corporation Common Stock ,294.84,3.18,1.09,106836888544.0,United States,,3133111,Utilities,Electric Utilities: Central
AEP,American Electric Power Company Inc. Common Stock,129.37,0.95,0.74,69971248762.0,United States,,3021329,Utilities,Electric Utilities: Central
EXC,Exelon Corporation Common Stock,47.79,0.43,0.908,48884036637.0,United States,,10466107,Utilities,Power Generation
XEL,Xcel Energy Inc. Common Stock,81.55,0.73,0.903,48240068488.0,United States,,4422403,Utilities,Power Generation
EVRG,Evergy Inc. Common Stock,80.26,0.73,0.918,18476987197.0,United States,,2456817,Utilities,Power Generation
LNT,Alliant Energy Corporation Common Stock,71.01,1.0,1.428,18253382456.0,United States,,4015052,Utilities,Power Generation
TLN,Talen Energy Corporation Common Stock,382.25,2.19,0.576,17464172253.0,United States,,607216,Utilities,Electric Utilities: Central
ENLT,Enlight Renewable Energy Ltd. Ordinary Shares,70.05,1.25,1.817,9239383239.0,Israel,2023.0,189031,Utilities,Electric Utilities: Central
CWST,Casella Waste Systems Inc. Class A Common Stock,95.46,-5.82,-5.746,6061091037.0,United States,1997.0,1021830,Utilities,Environmental Services
NWE,NorthWestern Energy Group Inc. Common Stock,68.93,0.39,0.569,4235308796.0,United States,,537971,Utilities,Power Generation
OTTR,Otter Tail Corporation Common Stock,84.95,-1.65,-1.905,3563951949.0,United States,,254669,Utilities,Electric Utilities: Central
RNW,ReNew Energy Global plc Class A Ordinary Shares,5.4,0.04,0.746,1958953378.0,United Kingdom,,405927,Utilities,Electric Utilities: Central
CDZIP,Cadiz Inc. Depositary Shares,19.31,-0.26,-1.329,1604855625.0,United States,,11240,Utilities,Water Supply
NEXT,NextDecade Corporation Common Stock,5.48,-0.1,-1.792,1451111716.0,United States,2015.0,1417025,Utilities,Oil & Gas Production
NNE,Nano Nuclear Energy Inc. Common Stock,24.6,-1.06,-4.131,1244804132.0,United States,2024.0,1170987,Utilities,Electric Utilities: Central
MSEX,Middlesex Water Company Common Stock,54.13,-0.34,-0.624,992626142.0,United States,,101147,Utilities,Water Supply
ADTN,ADTRAN Holdings Inc. Common Stock,10.07,0.19,1.923,806768070.0,United States,1994.0,1012650,Utilities,Telecommunications Equipment
NTGR,NETGEAR Inc. Common Stock,20.87,0.06,0.288,592765497.0,United States,2003.0,339744,Utilities,Telecommunications Equipment
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,37.09,0.11,0.297,590893252.0,Cayman Islands,,188236,Utilities,Water Supply
CLNE,Clean Energy Fuels Corp. Common Stock,2.61,-0.02,-0.76,572375607.0,United States,2007.0,708675,Utilities,Natural Gas Distribution
YORW,York Water Company (The) Common Stock,32.73,-0.12,-0.365,472447076.0,United States,,68983,Utilities,Water Supply
CLFD,Clearfield Inc. Common Stock,32.52,0.47,1.466,445049566.0,United States,,94645,Utilities,Telecommunications Equipment
CDZI,CADIZ Inc. Common Stock,5.31,-0.17,-3.102,441314519.0,United States,,721086,Utilities,Water Supply
OPAL,OPAL Fuels Inc. Class A Common Stock,2.1,-0.04,-1.869,364129949.0,United States,2021.0,96915,Utilities,Natural Gas Distribution
NFE,New Fortress Energy Inc. Class A Common Stock,1.22,-0.12,-8.955,347154429.0,United States,2019.0,5713162,Utilities,Oil/Gas Transmission
ARTNA,Artesian Resources Corporation Class A Common Stock,33.34,0.15,0.452,343840254.0,United States,,35669,Utilities,Water Supply
PCYO,Pure Cycle Corporation Common Stock,10.74,-0.21,-1.918,258733098.0,United States,,23601,Utilities,Water Supply
GWRS,Global Water Resources Inc. Common Stock,8.92,0.11,1.249,256452364.0,United States,2016.0,51185,Utilities,Water Supply
MNTK,Montauk Renewables Inc. Common Stock,1.68,0.08,5.0,238991117.0,United States,2021.0,320271,Utilities,Natural Gas Distribution
WAVE,Eco Wave Power Global AB (publ) American Depositary Shares,5.0,0.06,1.215,233669220.0,Israel,2021.0,8044,Utilities,Electric Utilities: Central
RGCO,RGC Resources Inc. Common Stock,21.07,0.09,0.429,219011841.0,United States,,7782,Utilities,Oil & Gas Production
AUDC,AudioCodes Ltd. Common Stock,7.24,0.15,2.116,213385193.0,Israel,1999.0,148557,Utilities,Telecommunications Equipment
VIASP,Via Renewables Inc. 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,25.65,-0.05,-0.195,187843389.0,United States,,3383,Utilities,Power Generation
ESGL,ESGL Holdings Limited Ordinary Shares,3.15,-0.06,-1.869,131721156.0,Singapore,,2688,Utilities,Environmental Services
SLNG,Stabilis Solutions Inc. Common Stock,5.62,0.33,6.238,104511212.0,United States,,18048,Utilities,Oil/Gas Transmission
FKWL,Franklin Wireless Corp. Common Stock,3.95,-0.1,-2.469,46547906.0,United States,,12259,Utilities,Telecommunications Equipment
FIEE,FiEE Inc Common Stock,7.24,0.19,2.695,45582758.0,United States,,24689,Utilities,Telecommunications Equipment
VVPR,VivoPower International PLC Ordinary Shares,2.37,-0.08,-3.265,39698081.0,United Kingdom,,1035375,Utilities,Power Generation
QRHC,Quest Resource Holding Corporation Common Stock,1.77,-0.04,-2.21,36940066.0,United States,,14812,Utilities,Environmental Services
SUUN,PowerBank Corporation Common Stock,0.8831,-0.0869,-8.959,35710709.0,Canada,,1408136,Utilities,Power Generation
CLRO,ClearOne Inc. (DE) Common Stock,5.26,-1.035,-16.442,11771417.0,United States,,20552,Utilities,Telecommunications Equipment
SONM,Sonim Technologies Inc. Common Stock,4.97,-0.05,-0.996,5112604.0,United States,2019.0,342704,Utilities,Telecommunications Equipment
SUNE,SUNation Energy Inc. Common Stock,1.44,-0.08,-5.263,4905524.0,United States,,479297,Utilities,Telecommunications Equipment
ESGLW,ESGL Holdings Limited Warrants,0.0779,0.0178,29.617,3257485.0,Singapore,,48050,Utilities,Environmental Services
RNWWW,ReNew Energy Global plc Warrant,0.0047,-0.0002,-4.082,1705015.0,United Kingdom,,31156,Utilities,Electric Utilities: Central
