date,symbol,close,rsi,macd_hist,atr,ema50,ema200,regime,direction,score,filter_score,volume_spike,price_momentum,trend_strength,momentum_score,entry_ok,strategy_tag,stop_loss,take_profit,tp1,tp2,tp3,risk_reward,stop_loss_pct,reco_score,reco_strength
2025-11-21,GOOGL,299.464111328125,68.1,0.0544,10.3402,262.31,217.2,True,True,2,2,True,False,True,81,True,Sniper 🎯,283.95,351.16,330.48,351.16,382.19,3.33,5.18,10.371,57
2026-01-29,GOOGL,338.25,66.12,0.1087,8.0751,313.35,254.71,True,True,2,1,False,False,True,80,True,Sniper 🎯,326.14,378.63,362.48,378.63,402.85,3.33,3.58,8.313,45
2026-02-06,NVDA,185.41000366210938,51.14,-1.0355,6.4651,184.4,171.26,True,True,2,2,False,True,True,42,True,Defansif 🛡️,169.25,227.43,214.5,227.43,,2.6,8.72,10.457,57
2026-01-06,QCOM,182.4499969482422,64.4,0.2019,4.0815,172.22,162.9,True,True,2,2,True,False,True,79,True,Sniper 🎯,176.33,202.86,194.69,202.86,215.1,3.33,3.36,10.133,55
2026-01-21,SPY,685.4000244140625,49.56,-1.1985,6.6378,681.04,644.61,True,True,2,1,False,False,True,41,True,Defansif 🛡️,668.81,728.55,715.27,728.55,,2.6,2.42,8.323,45
2026-01-21,QQQ,616.280029296875,48.01,-1.1311,8.5964,615.46,578.49,True,True,2,1,False,False,True,40,True,Defansif 🛡️,594.79,672.16,654.96,672.16,,2.6,3.49,8.327,46
2025-12-03,SNOW,265.0,59.13,0.3126,10.3367,248.53,215.67,True,True,2,2,True,False,True,76,True,Sniper 🎯,249.49,316.68,296.01,316.68,347.69,3.33,5.85,10.11,55
2025-12-11,CVS,80.1703872680664,58.77,0.2103,2.0874,76.78,68.9,True,True,2,1,False,False,True,76,True,Sniper 🎯,77.04,90.61,86.43,90.61,96.87,3.33,3.91,8.112,44
2026-01-15,CVS,80.69606018066406,58.95,0.0594,1.7538,78.15,70.96,True,True,2,1,False,False,True,76,True,Sniper 🎯,78.07,89.47,85.96,89.47,94.73,3.33,3.26,8.051,44
2026-01-21,CVS,80.82499694824219,57.07,0.0129,1.9247,78.3,71.21,True,True,2,1,False,False,True,75,True,Sniper 🎯,77.94,90.45,86.6,90.45,96.22,3.33,3.57,8.035,44
2026-01-05,GS,948.4400024414062,71.63,0.5712,21.3194,845.17,736.44,True,True,2,3,True,True,True,83,True,Sniper 🎯,916.46,1055.04,1012.4,1055.04,1119.0,3.33,3.37,12.145,66
2026-01-15,GS,975.8599853515625,69.69,0.8919,22.6885,872.82,752.54,True,True,2,3,True,True,True,82,True,Sniper 🎯,941.83,1089.3,1043.93,1089.3,1157.37,3.33,3.49,12.093,66
2026-01-06,XLK,146.64999389648438,56.74,0.0783,2.2666,143.65,132.85,True,True,2,2,True,False,True,75,True,Sniper 🎯,143.25,157.98,153.45,157.98,164.78,3.33,2.32,10.028,55
2026-01-02,XLI,157.97999572753906,60.0,0.0466,1.7256,154.03,147.49,True,True,2,3,True,True,True,77,True,Sniper 🎯,155.39,166.61,163.16,166.61,171.78,3.33,1.64,12.037,66
2026-02-03,XLI,168.94000244140625,67.5,0.0545,2.1651,160.07,150.67,True,True,2,1,False,False,True,81,True,Sniper 🎯,165.69,179.77,175.44,179.77,186.26,3.33,1.92,8.047,44
2026-01-13,AMD,220.97000122070312,55.14,0.3346,9.1065,214.8,180.23,True,True,2,2,True,False,True,74,True,Sniper 🎯,207.31,266.5,248.29,266.5,293.82,3.33,6.18,10.128,55
2025-11-24,AVGO,377.2381896972656,61.16,0.2967,17.3409,343.84,290.47,True,True,2,3,True,True,True,77,True,Sniper 🎯,351.23,463.94,429.26,463.94,515.97,3.33,6.9,12.222,67
2025-11-28,INTC,40.560001373291016,64.45,0.1415,1.9042,35.06,27.62,True,True,2,1,False,False,True,79,True,Sniper 🎯,37.7,50.08,46.27,50.08,55.79,3.33,7.04,8.204,45
2026-01-02,INTC,39.380001068115234,58.17,0.04,1.6478,36.91,29.85,True,True,2,2,True,False,True,76,True,Sniper 🎯,36.91,47.62,44.32,47.62,52.56,3.33,6.28,10.134,55
2026-01-07,MA,579.0501708984375,61.11,0.1489,9.1985,562.41,556.38,True,True,2,1,True,False,False,77,True,Sniper 🎯,565.25,625.04,606.65,625.04,652.64,3.33,2.38,8.06,44
2025-12-10,PEP,149.6999969482422,61.84,0.1792,2.5532,144.98,141.18,True,True,2,2,True,True,False,78,True,Sniper 🎯,145.87,162.47,157.36,162.47,170.13,3.33,2.56,10.07,55
2026-01-12,KO,70.5,55.33,0.0545,0.9166,69.66,68.15,True,True,2,1,False,True,False,74,True,Sniper 🎯,69.13,75.08,73.25,75.08,77.83,3.33,1.95,8.088,44
2025-11-20,WMT,106.89210510253906,63.01,0.1793,2.2025,102.55,98.44,True,True,2,3,True,True,True,78,True,Sniper 🎯,103.59,117.9,113.5,117.9,124.51,3.33,3.09,12.129,66
2026-01-12,WMT,117.97000122070312,67.01,0.0961,2.2537,110.46,102.6,True,True,2,3,True,True,True,81,True,Sniper 🎯,114.59,129.24,124.73,129.24,136.0,3.33,2.87,12.06,66
2026-02-02,WMT,124.05999755859375,72.51,0.1524,2.4725,114.08,104.73,True,True,2,2,False,True,True,84,True,Sniper 🎯,120.35,136.42,131.48,136.42,143.84,3.33,2.99,10.083,55
2026-02-03,MRK,115.83999633789062,70.55,0.1574,2.8663,104.33,92.95,True,True,2,2,True,False,True,83,True,Sniper 🎯,111.54,130.17,124.44,130.17,138.77,3.33,3.71,10.138,55
