date,symbol,close,rsi,macd_hist,atr,ema50,ema200,regime,direction,score,filter_score,volume_spike,price_momentum,trend_strength,momentum_score,entry_ok,strategy_tag,stop_loss,take_profit,tp1,tp2,tp3,risk_reward,stop_loss_pct,reco_score,reco_strength
2025-11-20,AAPL,266.0010986328125,51.76,-1.2862,5.7355,257.66,234.95,True,True,0,1,False,False,True,42,False,Defansif 🛡️,251.66,303.28,291.81,303.28,,2.6,5.39,6.251,34
2025-11-21,AAPL,271.2361755371094,59.85,-1.0499,5.8724,258.19,235.31,True,True,1,1,False,False,True,47,False,Defansif 🛡️,256.56,309.41,297.66,309.41,,2.6,5.41,7.339,40
2025-11-24,AAPL,275.6620788574219,65.17,-0.6029,5.8883,258.88,235.71,True,True,1,1,False,False,True,50,False,Normal 📈,263.89,308.05,296.27,308.05,319.82,2.75,4.27,7.333,40
2025-11-25,AAPL,276.7110900878906,66.31,-0.2613,5.8338,259.58,236.12,True,True,0,1,False,False,True,50,False,Normal 📈,265.04,308.8,297.13,308.8,320.46,2.75,4.22,6.381,35
2025-11-26,AAPL,277.29052734375,66.95,-0.0331,5.624,260.27,236.53,True,True,0,1,False,False,True,51,False,Normal 📈,266.04,308.22,296.97,308.22,319.47,2.75,4.06,6.367,35
2025-11-28,AAPL,278.5893249511719,68.41,0.1581,5.4371,260.99,236.95,True,True,1,1,False,False,True,81,False,Sniper 🎯,270.43,305.77,294.9,305.77,322.09,3.33,2.93,7.395,40
2025-12-01,AAPL,282.8353576660156,72.65,0.5037,5.5683,261.85,237.4,True,True,0,1,False,False,True,84,False,Sniper 🎯,274.48,310.68,299.54,310.68,327.38,3.33,2.95,6.386,35
2025-12-02,AAPL,285.9224548339844,75.25,0.853,5.5109,262.79,237.88,True,True,0,1,False,False,True,85,False,Sniper 🎯,277.66,313.48,302.46,313.48,330.01,3.33,2.89,6.362,35
2025-12-03,AAPL,283.8843688964844,70.48,0.8572,5.4969,263.62,238.34,True,True,0,1,False,False,True,83,False,Sniper 🎯,275.64,311.37,300.38,311.37,327.86,3.33,2.9,6.286,34
2025-12-04,AAPL,280.4375915527344,63.19,0.553,5.5424,264.28,238.76,True,True,0,1,False,False,True,78,False,Sniper 🎯,272.12,308.15,297.06,308.15,324.78,3.33,2.96,6.276,34
2025-12-05,AAPL,278.5193786621094,59.51,0.1678,5.3671,264.84,239.16,True,True,0,1,False,False,True,76,False,Sniper 🎯,270.47,305.35,294.62,305.35,321.46,3.33,2.89,6.248,34
2025-12-08,AAPL,277.6302185058594,57.82,-0.1827,5.2349,265.34,239.54,True,True,0,1,False,False,True,45,False,Defansif 🛡️,264.54,311.66,301.19,311.66,,2.6,4.71,6.256,34
2025-12-09,AAPL,276.9208679199219,56.45,-0.4812,5.0829,265.79,239.91,True,True,0,1,False,False,True,45,False,Defansif 🛡️,264.21,309.96,299.79,309.96,,2.6,4.59,6.237,34
2025-12-10,AAPL,278.5193786621094,58.82,-0.5831,4.9561,266.29,240.3,True,True,0,1,False,False,True,46,False,Defansif 🛡️,266.13,310.73,300.82,310.73,,2.6,4.45,6.262,34
2025-12-11,AAPL,277.77008056640625,57.25,-0.7049,5.0145,266.74,240.67,True,True,0,1,False,False,True,45,False,Defansif 🛡️,265.23,310.36,300.34,310.36,,2.6,4.51,6.281,34
2025-12-12,AAPL,278.0198669433594,57.65,-0.7675,4.8276,267.18,241.04,True,True,0,1,False,False,True,45,False,Defansif 🛡️,265.95,309.4,299.74,309.4,,2.6,4.34,6.296,34
2025-12-15,AAPL,273.8537292480469,49.24,-1.0697,5.0044,267.45,241.37,True,True,0,1,False,False,True,40,False,Defansif 🛡️,261.34,306.38,296.37,306.38,,2.6,4.57,6.27,34
2025-12-16,AAPL,274.353271484375,50.18,-1.206,4.9117,267.72,241.7,True,True,0,1,False,False,True,41,False,Defansif 🛡️,262.07,306.28,296.46,306.28,,2.6,4.48,6.275,34
2025-12-17,AAPL,271.58587646484375,45.19,-1.437,4.8834,267.87,241.99,True,True,0,1,False,False,True,38,False,Defansif 🛡️,259.38,303.33,293.56,303.33,,2.6,4.5,6.254,34
2025-12-18,AAPL,271.935546875,45.92,-1.513,5.0113,268.03,242.29,True,True,0,1,False,False,True,39,False,Defansif 🛡️,259.41,304.51,294.49,304.51,,2.6,4.61,6.258,34
2025-12-19,AAPL,273.4141845703125,49.02,-1.4124,4.9888,268.24,242.6,True,True,1,2,True,False,True,40,False,Defansif 🛡️,260.94,305.84,295.86,305.84,,2.6,4.56,9.267,51
2025-12-22,AAPL,270.7166748046875,44.06,-1.4697,4.8729,268.34,242.88,True,True,0,1,False,False,True,38,False,Defansif 🛡️,258.53,302.39,292.64,302.39,,2.6,4.5,6.28,34
2025-12-23,AAPL,272.1053771972656,47.03,-1.3588,4.7347,268.48,243.17,True,True,0,1,False,False,True,39,False,Defansif 🛡️,260.27,302.88,293.41,302.88,,2.6,4.35,6.284,34
2025-12-24,AAPL,273.55401611328125,50.01,-1.1414,4.627,268.68,243.47,True,True,0,1,False,False,True,41,False,Defansif 🛡️,261.99,303.63,294.38,303.63,,2.6,4.23,6.311,34
2025-12-26,AAPL,273.1444091796875,49.17,-0.9845,4.4756,268.86,243.77,True,True,0,1,False,False,True,40,False,Defansif 🛡️,261.96,302.24,293.28,302.24,,2.6,4.1,6.318,35
2025-12-29,AAPL,273.50408935546875,49.97,-0.8226,4.2993,269.04,244.06,True,True,0,1,False,False,True,41,False,Defansif 🛡️,262.76,301.45,292.85,301.45,,2.6,3.93,6.301,34
