feature,importance
volume_avg_20,0.039248094625800735
macd_hist,0.030075637098904415
ema_200,0.02943211389669869
macd,0.015650346399172448
rsi,0.01294057216564806
bb_upper,0.01054468505219732
ema_20,0.008927316914824547
ema_50,0.0064336108555967525
onchain_active_addresses,0.005106961008154683
volume,0.005023271378359511
close,0.004957425386870181
sentiment_score,0.004753996212274849
atr,0.004101321980687853
news_sentiment,0.0033377227666376284
macd_signal,0.0024405302985706077
bb_lower,0.002399540200702405
kelly_fraction,0.0022311429150818516
position_ratio,0.0021313291823225264
onchain_tx_volume,0.0020713597226490964
open_risk,0.0018348950182190385
cash_ratio,0.0014907050852140163
regime_volatility,0.0013522777342963464
regime_range,0.0004110267641807293
regime_trend,0.0002303823931958993
