feature,importance
volume_avg_20,0.05403541885221916
macd_hist,0.04353273491185981
macd,0.02498394767988838
rsi,0.013966331101175383
ema_200,0.013849940874228375
bb_upper,0.013721516205858188
ema_20,0.011342506415446449
ema_50,0.00974577127517852
onchain_active_addresses,0.006589088144760227
volume,0.005971759749813326
sentiment_score,0.004055342990777607
close,0.003926851672129768
open_risk,0.0037299692555532197
news_sentiment,0.003480847986749181
macd_signal,0.003020159112379098
kelly_fraction,0.002779243158363929
atr,0.00266358206737285
bb_lower,0.002645145932098214
position_ratio,0.0023731683680364205
cash_ratio,0.001994516846129534
onchain_tx_volume,0.0018103729055576785
regime_volatility,0.0011721819092593842
regime_trend,0.0008885805008216216
regime_range,0.000260024657704778
